"","country","countryiso3code","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"1","Afghanistan","AFG","","","23378628008.9566","25352757518.2174","25620370017.4831","28483515603.8497","30065529260.2352","34196594611.8752","35431559620.9183","42879503310.6483","46495656381.9102","49338254430.557","56460103813.5996","58662372437.4124","60240696442.9837","61029873905.8692","62474275203.7059"
"2","Albania","ALB","17510380538.4978","18900762786.954","19700524185.6232","20837932089.9084","22027685616.0616","23287849848.6004","24552615940.4074","26001220280.8442","26979088131.4647","27883591803.4951","28918089174.1618","29655546965.6768","30076646106.7396","30377639526.0504","30916650866.7338","31602614692.8638","32661984652.1521"
"3","Algeria","DZA","318416410158.416","327995635005.058","346393970221.036","371340821417.33","387314508294.907","410196240995.966","417105948759.254","431174411672.361","441350709274.181","448554629028.17","464855756236.2","478298761774.961","494440238443.97","508124558656.101","527378014089.835","547225711392.973","565284159867.605"
"4","American Samoa","ASM","","","","","","","","","","","","","","","","",""
"5","Andorra","AND","","","","","","","","","","","","","","","","",""
"6","Angola","AGO","47237947908.7703","49224775314.7246","55951678794.9858","58499741983.8304","64489154136.9704","77971919028.5592","92778034180.4393","114292886651.445","130084846471.339","133223676351.884","137823722898.398","143162091461.199","150574443238.046","160877825566.736","168445471210.335","173498410010.281","172087010689.033"
"7","Antigua and Barbuda","ATG","1580447591.73289","1502151037.27194","1517534578.98775","1609465435.99079","1701791779.97378","1810917563.95327","2041420340.94297","2230444035.7026","2229771930.02038","1959801486.73633","1818695300.29732","1780882314.40936","1843330897.88044","1841414955.58611","1935362848.46543","2013942817.83584","2121537298.70871"
"8","Argentina","ARG","552151219031.107","527807756978.584","470305820970.429","511866938234.463","558086338624.299","607486243380.051","656371581729.116","715495242254.303","744524552076.755","700459679762.513","771384011261.412","817697534663.575","809304519912.401","828770913988.898","807947089029.563","830013415358.972","814886070844.999"
"9","Armenia","ARM","8977769459.81012","9835742702.11207","11132713294.0707","12695834751.6417","14024814656.1629","15969454960.225","18077104187.2779","20562561750.2571","21981378511.3708","18871015949.0773","19286178299.7958","20192628679.6198","21646497945.2151","22360832377.7968","23165822343.6125","23907128659.1007","23954942915.886"
"10","Aruba","ABW","","","","","","","","","","","","3671232222.36581","","","","",""
"11","Australia","AUS","677589654104.745","690688178526.09","718336580223.397","739784278065.545","769383827652.374","793929605626.488","816431416633.168","847270717540.352","878261904211.392","895148485546.661","913525364804.201","935916831452.524","972342153230.378","998006952815.116","1023539339169.83","1047604145558.4","1077223167679.06"
"12","Austria","AUT","311204512094.246","315148003769.772","320352828758.272","323368865145.266","332213386858.736","339668477219.036","351400765795.985","364498931267.192","369822165488.295","355899912424.216","362438130466.604","373031463577.163","375569735185.251","375665520868.395","378778788297.946","382914500526.615","388470266129.919"
"13","Azerbaijan","AZE","35888694707.6342","39441675483.6899","43622492770.0479","48508212063.743","53456049887.4524","67568447489.7946","90879561542.8867","113643982480.432","125886190467.364","137732903988.907","144418926509.107","144514131462.76","147693442627.257","156254756508.811","159379851638.987","161133029702.752","156137905456.404"
"14","Bahamas, The","BHS","9827617929.49302","10085660126.791","10358433019.2025","10227427765.2907","10317719581.392","10668042850.7104","10936541393.224","11094743346.009","10836905174.9592","10384436164.5242","10544229522.0445","10608854836.1335","10936316964.3511","10891431189.7668","10875313116.166","10988955736.3637","10803291850.583"
"15","Bahrain","BHR","29869327645.5335","30613382622.9266","31719795667.2247","33630580677.6875","35978313685.1693","38413664046.7718","40898477900.7634","44289961204.7426","47055926124.3282","48251039581.2998","50342436060.8773","51341141014.8994","53257321531.4798","56142006330.8971","58584095087.0825","60260753039.0903","62198698866.9732"
"16","Bangladesh","BGD","216050975705.134","227020505484.482","235722482829.044","246894708777.71","259830838298.284","276813238827.961","295281853462.91","316124725281.398","335135801636.774","352043821059.316","371659006686.465","395684471605.039","421488777535.966","446835410086.698","473918520089.175","504972662927.365","540893717713.867"
"17","Barbados","BRB","4173945003.1029","4073770323.02842","4106360485.61265","4196700416.29615","4255454222.12428","4425672391.00925","4677935717.2968","4762138560.20812","4766900698.76835","4576224670.8176","4589953344.83007","4622083018.24387","4635949267.29858","4635949267.29858","4635949267.29858","4677672810.70429","4771226266.91836"
"18","Belarus","BLR","75474632782.8132","79041040138.904","83028871904.5422","88876755328.7902","99052915335.8009","108363891030.011","119200274348.755","129451505743.232","142655558816.721","142940863141.985","154081242198.04","162623060502.26","165438704404.354","167132772688.168","170012613575.317","163501862607.746","159371068808.586"
"19","Belgium","BEL","381230083658.796","384323932030.339","391166843854.87","394196694055.683","408524485105.136","417080101904.118","427532713651.544","442278204896.288","445742008548.901","435698662674.979","447655163201.287","455705357904.872","456775340069.543","457691861815.888","463611031548.648","470226560732.73","476867532904.5"
"20","Belize","BLZ","1721479771.42345","1807823395.35499","1900357910.46917","2077595510.4191","2174213425.51228","2230280780.9518","2332484742.52788","2358242623.53238","2434378368.18825","2451738352.42284","2533244977.32671","2586543205.39028","2684865278.44197","2704016418.13677","2813402070.02907","2920170452.25352","2905962756.80547"
"21","Benin","BEN","11441883947.698","12051783371.8559","12611524838.1216","13045871409.6567","13623755116.011","13856936260.6803","14403871439.8246","15266161439.334","16012661259.4538","16385644371.8654","16731414124.1439","17227124154.8024","18056864841.2115","19355102198.1462","20584505761.8031","21015917559.2062","21849169249.3082"
"22","Bermuda","BMU","3162154264.8163","3390538833.08688","3340433776.56587","3454366158.62813","3534551202.2428","3593726911.16702","3792958312.94401","3900901738.61185","3960503378.69618","3751223364.15495","3672668487.99025","3550019929.12843","3378392789.57695","3293556129.34525","","",""
"23","Bhutan","BTN","2029189412.06141","2195659522.64461","2431206376.61147","2617542154.5688","2771883124.6013","2969312153.57852","3172691208.63935","3741422280.73992","3919826548.16105","4180778173.88848","4671219172.59607","5039821055.27253","5295426154.38932","5408880477.24548","5719645280.13305","6096995931.06528","6584188914.85691"
"24","Bolivia","BOL","36796058242.8318","37415630617.0473","38345620378.9909","39385300793.7153","41028965313.8806","42843034250.7969","44898218532.8874","46947545075.714","49834113567.8222","51507045387.6761","53632598252.0909","56423688392.2173","59313864685.5243","63344841872.5948","66803831147.3381","70048618747.1641","73035435394.1163"
"25","Bosnia and Herzegovina","BIH","23824131721.7473","24872393399.9709","26190630316.6384","27238255546.4204","28899789072.4195","31430899165.7927","33121402792.1563","35018847443.865","36973994376.9841","35868596688.151","36179930092.2104","36525703316.1297","36225558110.8286","37076638020.1776","37502881462.9098","38656750363.2759","39872148508.6755"
