"","country","iso3code","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"1","Afghanistan","AFG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Albania","ALB",NA,NA,31.7,NA,NA,30.6,NA,NA,30,NA,NA,NA,29,NA,NA,NA,NA
"3","Algeria","DZA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.6,NA,NA,NA,NA,NA
"4","American Samoa","ASM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","Andorra","AND",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Angola","AGO",52,NA,NA,NA,NA,NA,NA,NA,42.7,NA,NA,NA,NA,NA,NA,NA,NA
"7","Antigua and Barbuda","ATG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","Argentina","ARG",51.1,53.3,53.8,50.7,48.3,47.7,46.6,46.3,44.5,43.9,43,42.3,41.2,41,41.4,NA,42.4
"9","Armenia","ARM",NA,35.4,34.8,33,37.5,36,29.7,31.2,29.2,28,30,29.4,29.6,30.6,31.5,32.4,32.5
"10","Aruba","ABW",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","Australia","AUS",NA,33.5,NA,33.5,NA,NA,NA,NA,35.4,NA,34.7,NA,NA,NA,NA,NA,NA
"12","Austria","AUT",NA,NA,NA,29.5,29.8,28.7,29.6,30.6,30.4,31.5,30.3,30.8,30.5,30.8,30.5,30.5,NA
"13","Azerbaijan","AZE",NA,36.5,17.4,18.8,16.2,16.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","Bahamas, The","BHS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","Bahrain","BHR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","Bangladesh","BGD",33.4,NA,NA,NA,NA,33.2,NA,NA,NA,NA,32.1,NA,NA,NA,NA,NA,32.4
"17","Barbados","BRB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Belarus","BLR",31.2,30.6,30.3,28.8,26.5,27.6,28.3,29.6,27.8,27.7,28.6,27.2,26.5,26.6,27.2,26.7,27
"19","Belgium","BEL",NA,NA,NA,28.1,30.5,29.3,28.1,29.2,28.4,28.5,28.4,28.1,27.5,27.7,28.1,27.7,NA
"20","Belize","BLZ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","Benin","BEN",NA,NA,NA,38.6,NA,NA,NA,NA,NA,NA,NA,43.4,NA,NA,NA,47.8,NA
"22","Bermuda","BMU",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","Bhutan","BTN",NA,NA,NA,40.9,NA,NA,NA,38.1,NA,NA,NA,NA,38.8,NA,NA,NA,NA
"24","Bolivia","BOL",61.6,57.4,59.3,NA,55,58.5,56.7,54.5,50.8,49.2,NA,46.1,46.6,47.6,47.8,46.7,44.6
"25","Bosnia and Herzegovina","BIH",NA,30,NA,NA,34,NA,NA,33.1,NA,NA,NA,33,NA,NA,NA,32.7,NA
"26","Botswana","BWA",NA,NA,64.7,NA,NA,NA,NA,NA,NA,60.5,NA,NA,NA,NA,NA,NA,NA
"27","Brazil","BRA",NA,58.4,58.1,57.6,56.5,56.3,55.6,54.9,54,53.7,NA,52.9,52.6,52.8,51.5,51.3,NA
"28","British Virgin Islands","VGB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","Brunei Darussalam","BRN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","Bulgaria","BGR",NA,NA,NA,NA,NA,NA,35.7,36.1,33.6,33.8,35.7,34.3,36,36.6,37.4,NA,NA
"31","Burkina Faso","BFA",NA,NA,NA,43.3,NA,NA,NA,NA,NA,39.8,NA,NA,NA,NA,35.3,NA,NA
"32","Burundi","BDI",NA,NA,NA,NA,NA,NA,33.4,NA,NA,NA,NA,NA,NA,38.6,NA,NA,NA
"33","Cabo Verde","CPV",NA,52.5,NA,NA,NA,NA,NA,47.2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","Cambodia","KHM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","Cameroon","CMR",NA,42.1,NA,NA,NA,NA,NA,42.8,NA,NA,NA,NA,NA,NA,46.6,NA,NA
"36","Canada","CAN",33.3,NA,NA,NA,33.7,NA,NA,33.8,NA,NA,33.6,NA,NA,34,NA,NA,NA
"37","Cayman Islands","CYM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","Central African Republic","CAF",NA,NA,NA,43.6,NA,NA,NA,NA,56.2,NA,NA,NA,NA,NA,NA,NA,NA
"39","Chad","TCD",NA,NA,NA,39.8,NA,NA,NA,NA,NA,NA,NA,43.3,NA,NA,NA,NA,NA
"40","Channel Islands","CHI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","Chile","CHL",52.8,NA,NA,51.5,NA,NA,48.2,NA,NA,49,NA,47.6,NA,47.3,NA,47.7,NA
"42","China","CHN",NA,NA,NA,NA,NA,NA,NA,NA,42.8,NA,NA,NA,42.2,NA,NA,NA,NA
"43","Colombia","COL",58.7,57.2,55.8,53.4,54.8,53.7,NA,NA,55.4,54.5,54.8,53.6,52.9,52.9,52.8,51.1,50.8
"44","Comoros","COM",NA,NA,NA,NA,55.9,NA,NA,NA,NA,NA,NA,NA,NA,45.3,NA,NA,NA
"45","Congo, Dem. Rep.","COD",NA,NA,NA,NA,42.2,NA,NA,NA,NA,NA,NA,NA,42.1,NA,NA,NA,NA
"46","Congo, Rep.","COG",NA,NA,NA,NA,NA,47.3,NA,NA,NA,NA,NA,48.9,NA,NA,NA,NA,NA
"47","Costa Rica","CRI",47.4,51.6,51.9,49.3,48.3,47.5,49.4,49.3,48.7,50.6,48.2,48.7,48.6,49.3,48.6,48.4,48.7
"48","Cote d'Ivoire","CIV",NA,NA,41.3,NA,NA,NA,NA,NA,43.2,NA,NA,NA,NA,NA,NA,41.5,NA
