"","country","iso3code","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"1","Afghanistan","AFG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.7411193847656,NA,NA,NA,NA,NA
"2","Albania","ALB",NA,98.7129821777344,NA,NA,NA,NA,NA,NA,95.9386367797852,NA,NA,96.8452987670898,97.2469711303711,NA,NA,NA,NA
"3","Algeria","DZA",NA,NA,69.8734970092773,NA,NA,NA,72.648681640625,NA,75.1360473632813,NA,NA,NA,NA,NA,NA,NA,NA
"4","American Samoa","ASM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","Andorra","AND",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,100
"6","Angola","AGO",NA,67.4054183959961,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66.0301132202148,NA,NA
"7","Antigua and Barbuda","ATG",NA,98.9499969482422,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","Argentina","ARG",NA,97.1933135986328,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,98.0899963378906,NA
"9","Armenia","ARM",NA,99.4001617431641,NA,NA,NA,NA,NA,NA,NA,NA,NA,99.7444076538086,NA,NA,NA,NA,NA
"10","Aruba","ABW",97.2912521362305,NA,NA,NA,NA,NA,NA,NA,NA,NA,96.822639465332,NA,NA,NA,NA,NA,NA
"11","Australia","AUS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","Austria","AUT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","Azerbaijan","AZE",NA,NA,NA,NA,NA,NA,NA,99.6019134521484,NA,99.7598419189453,99.7711410522461,99.7786331176758,99.7757720947266,99.7893600463867,99.7889862060547,99.7880630493164,99.7900619506836
"14","Bahamas, The","BHS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","Bahrain","BHR",NA,86.5487365722656,NA,NA,NA,NA,NA,NA,NA,NA,94.5567932128906,NA,NA,NA,NA,NA,NA
"16","Bangladesh","BGD",NA,47.4855003356934,NA,NA,NA,NA,NA,46.6636009216309,NA,NA,NA,47.0773086547852,NA,NA,NA,NA,72.7587203979492
"17","Barbados","BRB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Belarus","BLR",NA,NA,NA,NA,NA,NA,NA,NA,NA,99.617057800293,NA,NA,NA,NA,NA,NA,NA
"19","Belgium","BEL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","Belize","BLZ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","Benin","BEN",NA,NA,34.6578483581543,NA,NA,NA,28.7021102905273,NA,NA,NA,NA,NA,32.9488182067871,NA,NA,NA,NA
"22","Bermuda","BMU",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","Bhutan","BTN",NA,NA,NA,NA,NA,52.8146896362305,NA,NA,NA,NA,NA,NA,57.0335998535156,NA,NA,NA,NA
"24","Bolivia","BOL",NA,86.7236709594727,NA,NA,NA,NA,NA,90.7434692382813,90.698112487793,91.1678314208984,NA,92.2261505126953,94.4605712890625,NA,NA,92.455078125,NA
"25","Bosnia and Herzegovina","BIH",96.6631011962891,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,98.1420364379883,NA,96.9917678833008,NA,NA,NA
"26","Botswana","BWA",NA,NA,NA,81.1887130737305,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","Brazil","BRA",86.3678817749023,NA,NA,NA,88.6162414550781,NA,89.6152267456055,90.0093688964844,90.03662109375,90.298210144043,90.3791809082031,91.4112396240234,91.3378524780273,91.4842376708984,91.7294311523438,NA,NA
"28","British Virgin Islands","VGB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
