"","country","countryiso3code","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"1","Afghanistan","AFG","","","","","","","","28.9","","","","27.6","","","","","",""
"2","Albania","ALB","","","19.5","","","11.2","","","10.1","","","","13.6","","","","",""
"3","Algeria","DZA","","","","","","","","","","","","5.8","","","","","",""
"4","American Samoa","ASM","","","","","","","","","","","","","","","","","",""
"5","Andorra","AND","","","","","","","","","","","","","","","","","",""
"6","Angola","AGO","","","","","","","","","18.7","","","","","","","","",""
"7","Antigua and Barbuda","ATG","","","","","","","","","","","","","","","","","",""
"8","Argentina","ARG","","","","47.8","40.2","33.8","26.9","20.6","15.3","13.2","9.9","6.5","5.4","4.7","","","",""
"9","Armenia","ARM","","","","","","","","","27.6","33.7","35.7","35.2","32.5","32.2","30","","",""
"10","Aruba","ABW","","","","","","","","","","","","","","","","","",""
"11","Australia","AUS","","","","","","","","","","","","","","","","","",""
"12","Austria","AUT","","","","","","","","","","","","","","","","","",""
"13","Azerbaijan","AZE","","55.7","","","","","","","","","","","","","","","",""
"14","Bahamas, The","BHS","","","","","","","","","","","","","","","","","",""
"15","Bahrain","BHR","","","","","","","","","","","","","","","","","",""
"16","Bangladesh","BGD","35.2","","","","","28.4","","","","","21.3","","","","","","",""
"17","Barbados","BRB","","","","","","","","","","","","","","","","","",""
"18","Belarus","BLR","37.9","","","","","10.9","9.1","5.6","4.4","4","3.8","5.8","5.2","4.2","3.7","3.7","",""
"19","Belgium","BEL","","","","","","","","","","","","","","","","","",""
"20","Belize","BLZ","","","","","","","","","","","","","","","","","",""
"21","Benin","BEN","","","","","","","35.4","28.3","","29.8","","31.4","","","","","",""
"22","Bermuda","BMU","","","","","","","","","","","","","","","","","",""
"23","Bhutan","BTN","","","","","","","","1.7","","","","","1.8","","","","",""
"24","Bolivia","BOL","54.5","54.3","53.9","","54.4","51.1","50.3","50.9","48.7","43.5","","36.8","34.7","29","30.6","","",""
"25","Bosnia and Herzegovina","BIH","","","","","","","","","","","","","","","","","",""
"26","Botswana","BWA","","","19.4","","","","","","","11","","","","","","","",""
"27","Brazil","BRA","","","","","","","","","","","","","","","","","",""
"28","British Virgin Islands","VGB","","","","","","","","","","","","","","","","","",""
"29","Brunei Darussalam","BRN","","","","","","","","","","","","","","","","","",""
"30","Bulgaria","BGR","","","","","","","","","","","","","","","","","",""
"31","Burkina Faso","BFA","","","","22.2","","","","","","25.2","","","","","13.7","","",""
"32","Burundi","BDI","","","","","","","","","","","","","","","27.6","","",""
"33","Cabo Verde","CPV","","","","","","","","13.2","","","","","","","","","",""
"34","Cambodia","KHM","","","","28.5","","","18.3","","15.1","8","8.5","8.7","6.4","","","","",""
"35","Cameroon","CMR","","17.9","","","","","","12.2","","","","","","","8.9","","",""
"36","Canada","CAN","","","","","","","","","","","","","","","","","",""
"37","Cayman Islands","CYM","","","","","","","","","","","","","","","","","",""
"38","Central African Republic","CAF","","","","","","","","","49.6","","","","","","","","",""
"39","Chad","TCD","","","24.4","","","","","","","","","20.9","","","","","",""
"40","Channel Islands","CHI","","","","","","","","","","","","","","","","","",""
"41","Chile","CHL","19.7","","","18.5","","","25.8","","","22.6","","19.9","","12.4","","","",""
"42","China","CHN","","","","","","","","","","","","","","","","","",""
"43","Colombia","COL","","","45.5","44.9","43.7","41.1","","","37.4","36","33.3","30.3","28.4","26.9","24.6","24.1","",""
"44","Comoros","COM","","","","","34.5","","","","","","","","","","","","",""
"45","Congo, Dem. Rep.","COD","","","","","","","","","","","","","","","","","",""
"46","Congo, Rep.","COG","","","","","43.3","","","","","","","","","","","","",""
"47","Costa Rica","CRI","","","","","","","","","","","19","19.7","18.2","18.2","19.5","19.4","",""
"48","Cote d'Ivoire","CIV","","","24.5","","","","","","29.4","","","","","","","35.9","",""
"49","Croatia","HRV","","","","","","","","","","","","","","","","","",""
"50","Cuba","CUB","","","","","","","","","","","","","","","","","",""
"51","Curacao","CUW","","","","","","","","","","","","","","","","","",""
"52","Cyprus","CYP","","","","","","","","","","","","","","","","","",""
"53","Czech Republic","CZE","","","","","","","","","","","","","","","","","",""
"54","Denmark","DNK","","","","","","","","","","","","","","","","","",""
"55","Djibouti","DJI","","","","","","","","","","","","","","","","","",""
"56","Dominica","DMA","","","","","","","","","","","","","","","","","",""
"57","Dominican Republic","DOM","23.7","24.8","24.9","33.9","44.4","42.8","38.8","39.1","38.8","37.9","37.3","36.5","36.8","36.3","","","",""
"58","Ecuador","ECU","54.6","45.3","","38.8","32.5","31","25.9","24.3","22.6","25","22.5","17.4","16.1","17.6","16.4","","",""
"59","Egypt, Arab Rep.","EGY","9.3","","","","10.1","","","","11","","15.3","","","","","","",""
"60","El Salvador","SLV","","","","","","30.9","27.7","29.8","35.7","33.3","33","35.4","29.9","26.2","28.5","","",""
"61","Equatorial Guinea","GNQ","","","","","","","31.5","","","","","","","","","","",""
"62","Eritrea","ERI","","","","","","","","","","","","","","","","","",""
"63","Estonia","EST","","","","","","","","","","","","","","","","","",""
"64","Eswatini","SWZ","35.5","","","","","","","","","31.1","","","","","","","",""
"65","Ethiopia","ETH","","","","","35.1","","","","","","25.7","","","","","","",""
"66","Faroe Islands","FRO","","","","","","","","","","","","","","","","","",""
"67","Fiji","FJI","","","34.5","","","","","","26.2","","","","","","","","",""
