"","State","Percent.Limited.English.Households","Percent.With.Broadband","Percent.Occupied.Single.Family.Homes","Percent.In.Service.Industry","Percent.STEM.education","Percent.Computer.in.Household","Percent.Smartphone.In.Household","Percent.No.of.Internet.Subscriptions","Employment.Rate","Median.Annual.Income","Percent.in.Public.School","Percent.Foreign.Born","White","Black","Native","Asian","Other","Two.or.more","Population","Median.Age","Percent.male","Percent.Less.Than.High.School","Percent.High.School","Percent.Some.College","Percent.Bachelors","Population.Graduate","Percent.Below.Poverty.Line","Median.Monthly.Housing.Costs"
"1","Alabama","1.0","82.2","85.0","68.3","28.8","86.1","77.3","78.5","52.9","48123","86.7",0.0359280622719645,0.679567165229293,0.26821227850389,0.00516560141480163,0.0137254302633552,0.0138074858038786,0.0172603829491048,"4874747","38.9","46.9","9.4","31.1","21.4","16.0","9.6","29.1","734"
"2","Alaska","2.1","88.7","79.5","58.0","39.9","94.2","87.6","86.4","60.2","73181","88.3",NA,0.641875114051866,0.029882602612886,0.148619550010476,0.0667549794199745,0.0152461154779365,0.0806912725822694,"739795","34.5","54.5","5.4","27.6","26.4","18.0","10.8","21.0","1285"
"3","Arizona","4.0","87.7","82.3","68.2","32.5","92.2","83.3","86.0","56.1","56581","88.8",0.151837763918462,0.775685228761151,0.0438487971529032,0.0453195216261632,0.0331396881818972,0.0616927512766755,0.0301490678095341,"7016270","37.7","49.4","7.4","24.1","25.0","18.3","11.0","24.6","1015"
"4","Arkansas","1.5","77.1","86.6","64.2","29.7","86.3","78.2","73.3","54.6","45869","88.6",0.0489064838675777,0.763346879567444,0.152571382351639,0.00636092719750729,0.0159389324360354,0.0305863736357376,0.0261254031333308,"3004279","38.1","48.55","8.7","34.0","22.1","15.0","8.4","30.7","691"
"5","California","9.0","90.2","82.4","65.7","41.1","93.5","86.8","87.9","59.5","71805","86.0",0.368844159064016,0.586336152430505,0.0574635642526442,0.00793843120711306,0.145821777073542,0.149527148896494,0.038707702445121,"39536653","36.5","49.4","7.5","20.8","21.1","21.1","12.6","25.5","1567"
"6","Colorado","2.7","90.9","83.4","70.1","39.3","94.2","86.1","88.6","64.6","69117","88.4",0.108925228414128,0.841870046729589,0.0409184409773657,0.0101284894261866,0.0319682676808948,0.0390909541631994,0.0288438662465843,"5607154","36.8","50.6","5.0","21.3","20.9","26.0","15.2","21.0","1300"
"7","Connecticut","5.3","89.6","83.8","67.2","36.1","90.9","81.1","85.9","61.4","74168","80.0",0.173399469381175,0.758883323709152,0.106064237508444,0.00314030718603059,0.0456843907670287,0.0533342214334605,0.0255332502458068,"3588184","40.9","47.65","5.5","27.1","16.5","21.4","17.3","20.1","1390"
"8","Delaware","2.4","89.3","76.3","69.9","34.5","92.9","83.3","86.5","55.8","62852","84.4",0.114069669672452,0.688280649812514,0.21867914701452,0.0028369782283492,0.0404703416744721,0.0190989241521552,0.0281338005840287,"961939","40.1","46.9","6.0","32.4","19.0","18.0","13.5","26.7","1126"
"9","District of Columbia","3.6","84.1","25.7","66.4","49.4","91.9","86.5","82.8","65.3","82372","58.1",0.172028264922852,0.410010778532851,0.45854875989233,0.0024352567538748,0.0410664983601644,0.0578063668274801,0.0256825923812488,"693972","34.0","45.1","5.5","17.2","12.5","23.9","33.4","19.4","1641"
"10","Florida","6.9","85.6","73.7","71.9","31.7","91.9","82.8","83.4","54.9","52594","82.1",0.263735347161368,0.751430348258706,0.161763405196241,0.00303249080269152,0.0280249613998971,0.02868950267818,0.0221770934599035,"20984400","42.0","47.8","6.9","28.8","19.9","18.9","10.8","24.9","1047"
"11","Georgia","2.8","85.6","86.0","67.3","32.7","90.9","83.5","82.9","59.1","56183","85.9",0.113843982711001,0.587087304047537,0.315652638570331,0.00353376744674827,0.0393997571667498,0.0260641597165085,0.0239993196143318,"10429379","36.8","47.3","8.4","28.1","20.2","19.0","11.9","26.0","980"
"12","Hawaii","5.5","88.3","72.8","72.5","34.8","91.3","83.1","84.8","59.0","77765","77.9",0.228546618553099,0.250160065791594,0.016382050775531,0.00186404845265065,0.382223800697425,0.0150440828895623,0.226364552117001,"1427538","39.2","50.35","4.3","28.1","20.5","21.7","11.2","23.4","1585"
"13","Idaho","2.1","88.3","90.4","65.2","33.2","91.3","79.8","83.1","59.2","52225","86.3",0.0625942642760287,0.900443986783487,0.00660883908201961,0.0125740924422069,0.0134617165508698,0.0344175665703521,0.0270684583005959,"1716943","36.3","50.5","5.9","28.2","26.3","18.2","8.5","27.8","880"
"14","Illinois","4.5","88.0","79.6","68.3","32.6","90.3","82.0","84.0","60.8","62992","81.7",0.167045349503109,0.712380535482556,0.142085825029372,0.00233634949726305,0.054285795299696,0.0623273368591823,0.0209325510507207,"12802023","38.0","48.35","6.0","26.1","20.6","21.0","13.4","23.4","1081"
"15","Indiana","1.7","85.1","92.0","69.0","29.0","88.8","78.7","81.6","60.4","54181","83.6",0.0556136921599503,0.83666555769184,0.093592025461022,0.00185950778917319,0.0222543948252375,0.0188583219160925,0.0233444200816641,"6666818","37.7","48.6","7.7","32.7","20.2","17.0","9.8","26.5","815"
"16","Iowa","1.9","86.6","90.5","67.6","30.1","89.5","78.1","82.4","64.8","58570","84.4",0.055968093809196,0.899976507695716,0.0340387276517137,0.00343038505444397,0.0259763214103266,0.0131795323855243,0.0197774048537835,"3145711","38.3","49.35","4.8","30.5","21.0","19.4","9.5","23.6","825"
"17","Kansas","2.4","87.2","92.2","65.4","29.7","90.7","80.8","83.3","63.0","56422","85.8",0.0739362655139082,0.845214911969045,0.0573978510347829,0.00735499324951264,0.0294666582907759,0.0245046295676496,0.031946814466811,"2913123","36.7","49.75","5.5","25.8","22.7","21.2","12.6","25.2","858"
"18","Kentucky","1.2","83.3","85.2","67.6","29.2","86.3","76.5","79.2","55.6","48375","83.9",0.0394587855977358,0.869444471260649,0.0811903132085325,0.00174599685823839,0.0145656145260114,0.00946906384080244,0.0210725229665827,"4454189","38.9","48.55","8.2","33.0","21.3","14.0","9.9","31.0","743"
"19","Louisiana","2.1","80.6","83.8","67.4","28.1","86.0","78.6","75.8","54.7","46145","79.9",0.0426009307957168,0.617124785962057,0.324771744451131,0.00509101295744773,0.0181063131079708,0.0161359151879254,0.0170180044843097,"4684333","36.8","47.8","10.0","34.0","21.4","15.5","8.3","31.8","781"
"20","Maine","0.8","87.0","83.5","61.6","34.6","89.7","73.8","82.9","60.3","56277","82.4",NA,0.944385350177819,0.0122553441220085,0.0069915046481529,0.0113458496736674,0.0019619629210716,0.0216362366541982,"1335907","44.6","48.05","5.1","30.9","19.0","19.9","12.1","25.0","884"
"21","Maryland","3.2","90.7","71.0","65.3","41.1","93.0","84.4","87.9","63.8","80776","81.5",0.181087501544131,0.548973204187518,0.298516219866009,0.00312796535858089,0.0646590474799399,0.0504451538677735,0.0298487635110473,"6052177","38.7","47.1","6.1","24.5","18.9","21.3","18.3","20.1","1456"
"22","Massachusetts","6.1","90.7","77.2","66.7","40.3","91.2","81.3","87.0","63.6","77385","72.8",0.202770758994675,0.785357602000869,0.0775365938955532,0.00220078693038402,0.0659954730583999,0.0381702490984092,0.0259193427698311,"6859819","39.5","47.25","4.9","24.3","15.5","23.9","19.5","21.2","1464"
"23","Michigan","1.6","87.0","88.8","71.5","33.5","90.0","79.5","83.1","57.8","54909","87.2",0.0760172403644001,0.784433953125936,0.137981538620908,0.00536632514283081,0.0309217409494644,0.0114359007663985,0.0267172948124185,"9962311","39.8","48.55","6.3","28.9","23.4","17.6","11.5","26.2","862"
"24","Minnesota","2.4","90.0","85.8","68.7","34.4","92.1","81.9","86.4","66.9","68388","84.7",0.0955222643257465,0.826751074040375,0.0647580266563569,0.0109032268013914,0.0489892956396776,0.0198567013699731,0.0252884998509846,"5576606","37.9","49.75","3.9","24.8","20.9","23.5","12.5","20.7","1070"
"25","Mississippi","0.7","78.3","83.0","66.8","25.5","84.6","77.0","73.7","52.2","43529","87.1",0.0225186421791253,0.581712073992158,0.380125666029959,0.0046064139941691,0.00928052008980932,0.0103595724003887,0.0121312958681009,"2984100","37.5","47.05","10.8","30.4","22.0","13.5","8.3","34.1","672"
"26","Missouri","1.2","84.9","89.5","67.9","29.1","89.7","79.9","81.6","59.8","53578","81.2",0.0439008064640062,0.820081910097142,0.114235109916821,0.00418203421524579,0.0203676041934515,0.0132880632668644,0.0245673041377718,"6113532","38.5","48.25","7.2","30.8","22.0","17.9","11.1","25.2","837"
"27","Montana","0.4","84.8","84.7","60.7","34.6","88.7","75.9","82.0","61.3","53386","84.6",NA,0.88582027676529,0.00441221407472491,0.0617881318580895,0.00701194581972464,0.0074136619663339,0.0300135269820932,"1050493","40.0","50.2","4.8","28.1","23.5","21.7","10.6","24.8","816"
"28","Nebraska","3.0","88.8","93.1","65.0","28.3","90.8","80.3","84.9","67.4","59970","82.0",0.0806705520488309,0.873450842570815,0.046327332876407,0.00813457383978551,0.0245396536387101,0.020219512144311,0.0241948756195067,"1920076","36.5","49.9","4.8","26.3","23.1","20.9","10.8","21.8","887"
"29","Nevada","5.8","86.4","84.2","83.5","32.6","93.3","85.4","83.6","59.6","58003","88.5",0.248132405225602,0.646041962762993,0.0915765271899398,0.0126449322373725,0.0850639367933506,0.111316430506741,0.0389848164083256,"2998039","38.0","50.5","8.0","28.7","25.1","16.5","8.4","23.1","1089"
