GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - White alone,Margin of Error; Total: - White alone,Estimate; Total: - Black or African American alone,Margin of Error; Total: - Black or African American alone,Estimate; Total: - American Indian and Alaska Native alone,Margin of Error; Total: - American Indian and Alaska Native alone,Estimate; Total: - Asian alone,Margin of Error; Total: - Asian alone,Estimate; Total: - Native Hawaiian and Other Pacific Islander alone,Margin of Error; Total: - Native Hawaiian and Other Pacific Islander alone,Estimate; Total: - Some other race alone,Margin of Error; Total: - Some other race alone,Estimate; Total: - Two or more races:,Margin of Error; Total: - Two or more races:,Estimate; Total: - Two or more races: - Two races including Some other race,Margin of Error; Total: - Two or more races: - Two races including Some other race,"Estimate; Total: - Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Total: - Two or more races: - Two races excluding Some other race, and three or more races"
0400000US01,01,Alabama,4874747,*****,3312718,7193,1307467,6809,25181,3067,66908,2994,1581,800,67308,6742,93584,6810,9444,2532,84140,6533
0400000US02,02,Alaska,739795,*****,474856,3312,22107,1923,109948,4628,49385,2179,8830,643,11279,2328,63390,5290,3695,1214,59695,5218
0400000US04,04,Arizona,7016270,*****,5442417,25445,307655,6923,317974,8724,232517,4814,16453,2059,432853,21141,266401,12035,54867,6630,211534,10390
0400000US05,05,Arkansas,3004279,*****,2293307,7105,458367,5104,19110,2399,47885,3261,8551,1976,91890,7755,85169,5704,6681,2073,78488,5586
0400000US06,06,California,39536653,*****,23181769,68345,2271917,19745,313859,12442,5765305,20570,153923,5688,5911803,64869,1938077,38582,407704,17166,1530373,31513
0400000US08,08,Colorado,5607154,*****,4720495,13280,229436,6270,56792,4293,179251,4255,8400,1808,219189,11815,193591,10824,31859,4106,161732,9345
0400000US09,09,Connecticut,3588184,*****,2723013,12447,380578,7306,11268,2350,163924,3110,525,407,191373,12750,117503,7644,25885,4315,91618,7525
0400000US10,10,Delaware,961939,*****,662084,4020,210356,3797,2729,778,38930,1658,244,214,18372,3423,29224,3620,2161,861,27063,3554
0400000US11,11,District of Columbia,693972,*****,284536,4734,318220,3042,1690,463,28499,1656,302,209,40116,5076,20609,3240,2786,1193,17823,3031
0400000US12,12,Florida,20984400,*****,15768315,33431,3394508,19514,63635,6958,588087,7774,13937,3557,602032,29652,553886,21776,88513,9383,465373,18170
0400000US13,13,Georgia,10429379,*****,6122956,19518,3292061,14889,36855,4978,410915,7362,8594,4808,271833,18068,286165,15074,35867,5045,250298,14332
0400000US15,15,Hawaii,1427538,*****,357113,4528,23386,2357,2661,899,545639,8663,145271,6984,21476,3232,331992,12399,8848,1911,323144,12237
0400000US16,16,Idaho,1716943,*****,1546011,8292,11347,2676,21589,2376,23113,3357,3079,1199,59093,7378,52711,6054,6236,1987,46475,5821
0400000US17,17,Illinois,12802023,*****,9119912,26997,1818986,10407,29910,4796,694968,6277,4860,1837,797916,26426,335471,13189,67492,7217,267979,11908
0400000US18,18,Indiana,6666818,*****,5577897,9067,623961,6948,12397,1742,148366,4377,1441,727,125725,8655,177031,8148,21398,3757,155633,7352
0400000US19,19,Iowa,3145711,*****,2831066,5732,107076,4342,10791,2128,81714,2862,5876,2224,41459,5461,67729,5542,5515,1443,62214,5285
0400000US20,20,Kansas,2913123,*****,2462215,8017,167207,5245,21426,2982,85840,3241,3712,1793,71385,7823,101338,6084,8273,1955,93065,5904
0400000US21,21,Kentucky,4454189,*****,3872670,6224,361637,6545,7777,1749,64878,2732,3527,1493,42177,5939,101523,6447,7662,1789,93861,5999
0400000US22,22,Louisiana,4684333,*****,2890818,7827,1521339,7479,23848,2438,84816,2218,1517,848,75586,7165,86409,7164,6691,1760,79718,6888
0400000US23,23,Maine,1335907,*****,1261611,1419,16372,1321,9340,1227,15157,1289,228,186,2621,1063,30578,2319,1674,827,28904,2520
0400000US24,24,Maryland,6052177,*****,3322483,13226,1806673,11404,18931,3269,391328,4619,2143,792,305303,13239,205316,11384,24666,4246,180650,10200
0400000US25,25,Massachusetts,6859819,*****,5387411,16190,531887,11002,15097,2882,452717,5899,993,700,261841,16473,209873,13038,32071,4932,177802,12849
0400000US26,26,Michigan,9962311,*****,7814775,9756,1374615,9426,53461,3852,308052,5534,2951,1127,113928,8680,294529,10231,28363,3676,266166,9629
0400000US27,27,Minnesota,5576606,*****,4610465,7477,361130,5956,60803,3655,273194,4115,2044,791,110733,7416,158237,8950,17213,3093,141024,7841
0400000US28,28,Mississippi,2984100,*****,1735887,4826,1134333,6398,13746,2245,27694,2806,1095,933,30914,3890,40431,5134,4230,1315,36201,4862
0400000US29,29,Missouri,6113532,*****,5013597,7917,698380,8685,25567,3166,124518,4632,8956,2809,81237,8559,161277,8726,11084,2345,150193,8204
0400000US30,30,Montana,1050493,*****,930548,2488,4635,1022,64908,3142,7366,1202,1150,802,7788,1937,34098,3173,2569,1192,31529,3145
0400000US31,31,Nebraska,1920076,*****,1677092,5326,88952,3328,15619,1744,47118,1953,1244,485,38823,4822,51228,3493,4772,1187,46456,3335
0400000US32,32,Nevada,2998039,*****,1936859,16580,274550,5204,37910,3411,255025,4592,20761,1706,333731,16877,139203,8911,22325,3118,116878,8092
0400000US33,33,New Hampshire,1342795,*****,1249751,2780,22409,2820,1785,614,35663,1914,560,462,4518,1355,28109,2901,2009,957,26100,2850
0400000US34,34,New Jersey,9005644,*****,6112238,22177,1217572,10761,17843,2730,886261,5549,3771,1356,538371,20351,229588,10637,52851,6040,176737,9623
0400000US35,35,New Mexico,2088070,*****,1582020,11641,44431,3251,199887,4107,29427,1834,1684,763,161056,10764,69565,5524,18807,3205,50758,4999
0400000US36,36,New York,19849399,*****,12523357,35841,3136984,21590,76069,6649,1734663,11426,7397,1742,1768858,37683,602071,18354,152509,11867,449562,14651
0400000US37,37,North Carolina,10273419,*****,7066745,16775,2206579,12167,119909,5099,295672,4895,8385,2541,309141,16321,266988,13249,27007,4265,239981,11755
0400000US38,38,North Dakota,755393,*****,654116,2352,23294,2184,41706,2209,12699,1981,540,445,8251,1916,14787,2568,1019,516,13768,2418
0400000US39,39,Ohio,11658609,*****,9480074,9073,1441353,10913,23720,3264,257518,4828,4216,1398,110748,8860,340980,12350,27733,4262,313247,11534
0400000US40,40,Oklahoma,3930864,*****,2837492,6995,286716,5037,302400,6392,86704,3193,7163,2135,107507,7386,302882,8985,14917,2415,287965,8657
0400000US41,41,Oregon,4142776,*****,3497242,14004,77750,3874,47692,4485,181659,4496,16144,2093,123547,12664,198742,9132,20451,4647,178291,8083
0400000US42,42,Pennsylvania,12805537,*****,10339488,16063,1437081,14280,23523,2945,444588,5037,3425,1423,243000,14284,314432,14624,34246,4576,280186,13610
0400000US44,44,Rhode Island,1059639,*****,866258,7073,66660,5240,5580,2229,38058,1655,1128,1171,47303,7153,34652,5370,8301,3514,26351,4005
0400000US45,45,South Carolina,5024369,*****,3380219,8607,1357385,9443,15007,2574,76181,3682,6389,4664,81959,8728,107229,9891,9274,2643,97955,9315
0400000US46,46,South Dakota,869666,*****,736581,2594,16987,1897,76078,2436,10775,1976,944,628,5647,1821,22654,2935,1275,1080,21379,2915
0400000US47,47,Tennessee,6715984,*****,5221591,8339,1122675,7929,14637,2210,119115,4010,6380,3151,89260,8454,142326,8537,10405,2429,131921,8422
0400000US48,48,Texas,28304596,*****,20929140,49248,3423231,16872,135098,9085,1360248,12057,23905,2603,1683894,47259,749080,24596,162297,13215,586783,22816
0400000US49,49,Utah,3101833,*****,2657013,9210,37669,3034,32694,2620,75691,3749,26547,3160,179943,9716,92276,7549,16977,3864,75299,6001
0400000US50,50,Vermont,623657,*****,587265,1192,8260,1155,2355,731,11270,1081,166,230,1392,534,12949,1611,682,479,12267,1577
0400000US51,51,Virginia,8470020,*****,5714699,15261,1627641,10715,26792,3555,545776,7330,4225,1094,219501,14571,331386,14713,31959,4539,299427,13967
0400000US53,53,Washington,7405743,*****,5582361,14609,271584,8603,93038,6275,632156,8576,48533,2714,339986,15931,438085,14801,41827,4912,396258,14268
0400000US54,54,West Virginia,1815857,*****,1684321,4026,71991,4073,2438,1029,13733,1791,344,483,12506,3687,30524,3525,2384,980,28140,3396
0400000US55,55,Wisconsin,5795483,*****,4942176,10663,370335,4564,49261,2660,159530,3156,4177,2357,126767,10372,143237,6903,20513,3861,122724,5584
0400000US56,56,Wyoming,579315,*****,528414,3065,5766,1755,13944,1327,4832,1167,8,15,10001,2465,16350,2542,2247,1210,14103,2288
0400000US72,72,Puerto Rico,3337177,*****,2210728,25678,403659,18645,7934,2447,5424,1934,0,262,533614,20287,175818,11637,17163,3105,158655,11338
