GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29,HD01_VD30,HD02_VD30,HD01_VD31,HD02_VD31,HD01_VD32,HD02_VD32,HD01_VD33,HD02_VD33,HD01_VD34,HD02_VD34,HD01_VD35,HD02_VD35,HD01_VD36,HD02_VD36,HD01_VD37,HD02_VD37,HD01_VD38,HD02_VD38,HD01_VD39,HD02_VD39,HD01_VD40,HD02_VD40,HD01_VD41,HD02_VD41,HD01_VD42,HD02_VD42,HD01_VD43,HD02_VD43,HD01_VD44,HD02_VD44,HD01_VD45,HD02_VD45,HD01_VD46,HD02_VD46,HD01_VD47,HD02_VD47,HD01_VD48,HD02_VD48,HD01_VD49,HD02_VD49,HD01_VD50,HD02_VD50,HD01_VD51,HD02_VD51,HD01_VD52,HD02_VD52,HD01_VD53,HD02_VD53,HD01_VD54,HD02_VD54,HD01_VD55,HD02_VD55,HD01_VD56,HD02_VD56,HD01_VD57,HD02_VD57,HD01_VD58,HD02_VD58,HD01_VD59,HD02_VD59,HD01_VD60,HD02_VD60,HD01_VD61,HD02_VD61,HD01_VD62,HD02_VD62,HD01_VD63,HD02_VD63,HD01_VD64,HD02_VD64,HD01_VD65,HD02_VD65,HD01_VD66,HD02_VD66,HD01_VD67,HD02_VD67,HD01_VD68,HD02_VD68,HD01_VD69,HD02_VD69,HD01_VD70,HD02_VD70,HD01_VD71,HD02_VD71,HD01_VD72,HD02_VD72,HD01_VD73,HD02_VD73,HD01_VD74,HD02_VD74,HD01_VD75,HD02_VD75,HD01_VD76,HD02_VD76,HD01_VD77,HD02_VD77,HD01_VD78,HD02_VD78,HD01_VD79,HD02_VD79,HD01_VD80,HD02_VD80,HD01_VD81,HD02_VD81,HD01_VD82,HD02_VD82,HD01_VD83,HD02_VD83,HD01_VD84,HD02_VD84,HD01_VD85,HD02_VD85,HD01_VD86,HD02_VD86,HD01_VD87,HD02_VD87,HD01_VD88,HD02_VD88,HD01_VD89,HD02_VD89,HD01_VD90,HD02_VD90,HD01_VD91,HD02_VD91,HD01_VD92,HD02_VD92,HD01_VD93,HD02_VD93,HD01_VD94,HD02_VD94,HD01_VD95,HD02_VD95,HD01_VD96,HD02_VD96,HD01_VD97,HD02_VD97
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - 1 to 4 years,Margin of Error; Total: - 1 to 4 years,Estimate; Total: - 5 to 17 years,Margin of Error; Total: - 5 to 17 years,Estimate; Total: - 18 and 19 years,Margin of Error; Total: - 18 and 19 years,Estimate; Total: - 20 to 24 years,Margin of Error; Total: - 20 to 24 years,Estimate; Total: - 25 to 29 years,Margin of Error; Total: - 25 to 29 years,Estimate; Total: - 30 to 34 years,Margin of Error; Total: - 30 to 34 years,Estimate; Total: - 35 to 39 years,Margin of Error; Total: - 35 to 39 years,Estimate; Total: - 40 to 44 years,Margin of Error; Total: - 40 to 44 years,Estimate; Total: - 45 to 49 years,Margin of Error; Total: - 45 to 49 years,Estimate; Total: - 50 to 54 years,Margin of Error; Total: - 50 to 54 years,Estimate; Total: - 55 to 59 years,Margin of Error; Total: - 55 to 59 years,Estimate; Total: - 60 to 64 years,Margin of Error; Total: - 60 to 64 years,Estimate; Total: - 65 to 69 years,Margin of Error; Total: - 65 to 69 years,Estimate; Total: - 70 to 74 years,Margin of Error; Total: - 70 to 74 years,Estimate; Total: - 75 years and over,Margin of Error; Total: - 75 years and over,Estimate; Total: - Same house 1 year ago:,Margin of Error; Total: - Same house 1 year ago:,Estimate; Total: - Same house 1 year ago: - 1 to 4 years,Margin of Error; Total: - Same house 1 year ago: - 1 to 4 years,Estimate; Total: - Same house 1 year ago: - 5 to 17 years,Margin of Error; Total: - Same house 1 year ago: - 5 to 17 years,Estimate; Total: - Same house 1 year ago: - 18 and 19 years,Margin of Error; Total: - Same house 1 year ago: - 18 and 19 years,Estimate; Total: - Same house 1 year ago: - 20 to 24 years,Margin of Error; Total: - Same house 1 year ago: - 20 to 24 years,Estimate; Total: - Same house 1 year ago: - 25 to 29 years,Margin of Error; Total: - Same house 1 year ago: - 25 to 29 years,Estimate; Total: - Same house 1 year ago: - 30 to 34 years,Margin of Error; Total: - Same house 1 year ago: - 30 to 34 years,Estimate; Total: - Same house 1 year ago: - 35 to 39 years,Margin of Error; Total: - Same house 1 year ago: - 35 to 39 years,Estimate; Total: - Same house 1 year ago: - 40 to 44 years,Margin of Error; Total: - Same house 1 year ago: - 40 to 44 years,Estimate; Total: - Same house 1 year ago: - 45 to 49 years,Margin of Error; Total: - Same house 1 year ago: - 45 to 49 years,Estimate; Total: - Same house 1 year ago: - 50 to 54 years,Margin of Error; Total: - Same house 1 year ago: - 50 to 54 years,Estimate; Total: - Same house 1 year ago: - 55 to 59 years,Margin of Error; Total: - Same house 1 year ago: - 55 to 59 years,Estimate; Total: - Same house 1 year ago: - 60 to 64 years,Margin of Error; Total: - Same house 1 year ago: - 60 to 64 years,Estimate; Total: - Same house 1 year ago: - 65 to 69 years,Margin of Error; Total: - Same house 1 year ago: - 65 to 69 years,Estimate; Total: - Same house 1 year ago: - 70 to 74 years,Margin of Error; Total: - Same house 1 year ago: - 70 to 74 years,Estimate; Total: - Same house 1 year ago: - 75 years and over,Margin of Error; Total: - Same house 1 year ago: - 75 years and over,Estimate; Total: - Moved within same county:,Margin of Error; Total: - Moved within same county:,Estimate; Total: - Moved within same county: - 1 to 4 years,Margin of Error; Total: - Moved within same county: - 1 to 4 years,Estimate; Total: - Moved within same county: - 5 to 17 years,Margin of Error; Total: - Moved within same county: - 5 to 17 years,Estimate; Total: - Moved within same county: - 18 and 19 years,Margin of Error; Total: - Moved within same county: - 18 and 19 years,Estimate; Total: - Moved within same county: - 20 to 24 years,Margin of Error; Total: - Moved within same county: - 20 to 24 years,Estimate; Total: - Moved within same county: - 25 to 29 years,Margin of Error; Total: - Moved within same county: - 25 to 29 years,Estimate; Total: - Moved within same county: - 30 to 34 years,Margin of Error; Total: - Moved within same county: - 30 to 34 years,Estimate; Total: - Moved within same county: - 35 to 39 years,Margin of Error; Total: - Moved within same county: - 35 to 39 years,Estimate; Total: - Moved within same county: - 40 to 44 years,Margin of Error; Total: - Moved within same county: - 40 to 44 years,Estimate; Total: - Moved within same county: - 45 to 49 years,Margin of Error; Total: - Moved within same county: - 45 to 49 years,Estimate; Total: - Moved within same county: - 50 to 54 years,Margin of Error; Total: - Moved within same county: - 50 to 54 years,Estimate; Total: - Moved within same county: - 55 to 59 years,Margin of Error; Total: - Moved within same county: - 55 to 59 years,Estimate; Total: - Moved within same county: - 60 to 64 years,Margin of Error; Total: - Moved within same county: - 60 to 64 years,Estimate; Total: - Moved within same county: - 65 to 69 years,Margin of Error; Total: - Moved within same county: - 65 to 69 years,Estimate; Total: - Moved within same county: - 70 to 74 years,Margin of Error; Total: - Moved within same county: - 70 to 74 years,Estimate; Total: - Moved within same county: - 75 years and over,Margin of Error; Total: - Moved within same county: - 75 years and over,Estimate; Total: - Moved from different county within same state:,Margin of Error; Total: - Moved from different county within same state:,Estimate; Total: - Moved from different county within same state: - 1 to 4 years,Margin of Error; Total: - Moved from different county within same state: - 1 to 4 years,Estimate; Total: - Moved from different county within same state: - 5 to 17 years,Margin of Error; Total: - Moved from different county within same state: - 5 to 17 years,Estimate; Total: - Moved from different county within same state: - 18 and 19 years,Margin of Error; Total: - Moved from different county within same state: - 18 and 19 years,Estimate; Total: - Moved from different county within same state: - 20 to 24 years,Margin of Error; Total: - Moved from different county within same state: - 20 to 24 years,Estimate; Total: - Moved from different county within same state: - 25 to 29 years,Margin of Error; Total: - Moved from different county within same state: - 25 to 29 years,Estimate; Total: - Moved from different county within same state: - 30 to 34 years,Margin of Error; Total: - Moved from different county within same state: - 30 to 34 years,Estimate; Total: - Moved from different county within same state: - 35 to 39 years,Margin of Error; Total: - Moved from different county within same state: - 35 to 39 years,Estimate; Total: - Moved from different county within same state: - 40 to 44 years,Margin of Error; Total: - Moved from different county within same state: - 40 to 44 years,Estimate; Total: - Moved from different county within same state: - 45 to 49 years,Margin of Error; Total: - Moved from different county within same state: - 45 to 49 years,Estimate; Total: - Moved from different county within same state: - 50 to 54 years,Margin of Error; Total: - Moved from different county within same state: - 50 to 54 years,Estimate; Total: - Moved from different county within same state: - 55 to 59 years,Margin of Error; Total: - Moved from different county within same state: - 55 to 59 years,Estimate; Total: - Moved from different county within same state: - 60 to 64 years,Margin of Error; Total: - Moved from different county within same state: - 60 to 64 years,Estimate; Total: - Moved from different county within same state: - 65 to 69 years,Margin of Error; Total: - Moved from different county within same state: - 65 to 69 years,Estimate; Total: - Moved from different county within same state: - 70 to 74 years,Margin of Error; Total: - Moved from different county within same state: - 70 to 74 years,Estimate; Total: - Moved from different county within same state: - 75 years and over,Margin of Error; Total: - Moved from different county within same state: - 75 years and over,Estimate; Total: - Moved from different state:,Margin of Error; Total: - Moved from different state:,Estimate; Total: - Moved from different state: - 1 to 4 years,Margin of Error; Total: - Moved from different state: - 1 to 4 years,Estimate; Total: - Moved from different state: - 5 to 17 years,Margin of Error; Total: - Moved from different state: - 5 to 17 years,Estimate; Total: - Moved from different state: - 18 and 19 years,Margin of Error; Total: - Moved from different state: - 18 and 19 years,Estimate; Total: - Moved from different state: - 20 to 24 years,Margin of Error; Total: - Moved from different state: - 20 to 24 years,Estimate; Total: - Moved from different state: - 25 to 29 years,Margin of Error; Total: - Moved from different state: - 25 to 29 years,Estimate; Total: - Moved from different state: - 30 to 34 years,Margin of Error; Total: - Moved from different state: - 30 to 34 years,Estimate; Total: - Moved from different state: - 35 to 39 years,Margin of Error; Total: - Moved from different state: - 35 to 39 years,Estimate; Total: - Moved from different state: - 40 to 44 years,Margin of Error; Total: - Moved from different state: - 40 to 44 years,Estimate; Total: - Moved from different state: - 45 to 49 years,Margin of Error; Total: - Moved from different state: - 45 to 49 years,Estimate; Total: - Moved from different state: - 50 to 54 years,Margin of Error; Total: - Moved from different state: - 50 to 54 years,Estimate; Total: - Moved from different state: - 55 to 59 years,Margin of Error; Total: - Moved from different state: - 55 to 59 years,Estimate; Total: - Moved from different state: - 60 to 64 years,Margin of Error; Total: - Moved from different state: - 60 to 64 years,Estimate; Total: - Moved from different state: - 65 to 69 years,Margin of Error; Total: - Moved from different state: - 65 to 69 years,Estimate; Total: - Moved from different state: - 70 to 74 years,Margin of Error; Total: - Moved from different state: - 70 to 74 years,Estimate; Total: - Moved from different state: - 75 years and over,Margin of Error; Total: - Moved from different state: - 75 years and over,Estimate; Total: - Moved from abroad:,Margin of Error; Total: - Moved from abroad:,Estimate; Total: - Moved from abroad: - 1 to 4 years,Margin of Error; Total: - Moved from abroad: - 1 to 4 years,Estimate; Total: - Moved from abroad: - 5 to 17 years,Margin of Error; Total: - Moved from abroad: - 5 to 17 years,Estimate; Total: - Moved from abroad: - 18 and 19 years,Margin of Error; Total: - Moved from abroad: - 18 and 19 years,Estimate; Total: - Moved from abroad: - 20 to 24 years,Margin of Error; Total: - Moved from abroad: - 20 to 24 years,Estimate; Total: - Moved from abroad: - 25 to 29 years,Margin of Error; Total: - Moved from abroad: - 25 to 29 years,Estimate; Total: - Moved from abroad: - 30 to 34 years,Margin of Error; Total: - Moved from abroad: - 30 to 34 years,Estimate; Total: - Moved from abroad: - 35 to 39 years,Margin of Error; Total: - Moved from abroad: - 35 to 39 years,Estimate; Total: - Moved from abroad: - 40 to 44 years,Margin of Error; Total: - Moved from abroad: - 40 to 44 years,Estimate; Total: - Moved from abroad: - 45 to 49 years,Margin of Error; Total: - Moved from abroad: - 45 to 49 years,Estimate; Total: - Moved from abroad: - 50 to 54 years,Margin of Error; Total: - Moved from abroad: - 50 to 54 years,Estimate; Total: - Moved from abroad: - 55 to 59 years,Margin of Error; Total: - Moved from abroad: - 55 to 59 years,Estimate; Total: - Moved from abroad: - 60 to 64 years,Margin of Error; Total: - Moved from abroad: - 60 to 64 years,Estimate; Total: - Moved from abroad: - 65 to 69 years,Margin of Error; Total: - Moved from abroad: - 65 to 69 years,Estimate; Total: - Moved from abroad: - 70 to 74 years,Margin of Error; Total: - Moved from abroad: - 70 to 74 years,Estimate; Total: - Moved from abroad: - 75 years and over,Margin of Error; Total: - Moved from abroad: - 75 years and over
0400000US01,01,Alabama,4819343,3710,233493,3845,805164,2907,144738,5375,326341,6661,323695,4885,305183,4604,305656,8137,290350,8292,310367,4392,319963,3113,329812,7545,321365,7882,268718,5823,212195,6103,322303,2424,4158224,20321,188696,4323,693494,8156,103887,5399,241235,7615,243985,6803,246043,6315,256501,7219,253245,8881,280819,5233,288123,4226,300875,8234,301441,7736,254903,5927,202257,6220,302720,3131,387796,17237,30243,3204,74452,6357,12631,2061,49478,4633,46475,4492,33039,3198,29113,3602,21836,3181,17501,2370,18422,2408,17084,2505,11220,1825,8275,1821,6416,1347,11611,1959,147853,8260,7424,1476,19088,2897,14438,2144,22761,2948,18643,2371,13496,2174,11311,2001,8283,1570,6338,1597,7583,1720,5205,1427,3735,1161,2637,775,1903,662,5008,1615,111803,8786,6422,1365,16403,3359,13001,1456,11529,1822,12708,2098,11758,2276,7090,1678,6272,1328,5150,1427,5054,1165,6114,1224,4495,964,2635,809,923,542,2249,722,13667,2273,708,497,1727,605,781,392,1338,575,1884,797,847,613,1641,1142,714,518,559,486,781,415,534,354,474,331,268,248,696,469,715,443
0400000US02,02,Alaska,730874,1438,43998,1487,132262,851,18733,1883,54320,2689,62707,1693,55442,2089,55766,3200,41358,3102,41908,1284,47144,1878,49003,2184,45192,2156,34504,2115,22334,1856,26203,900,595804,9147,32365,2026,110800,3298,13666,1409,35434,2579,41467,2602,40213,2443,43438,2951,35259,2952,36371,1655,41539,1850,45076,2124,41435,2176,32515,2151,21264,1783,24962,918,81244,8051,6513,1398,14705,2918,2478,1037,10300,1969,13678,2309,9147,1601,7823,2012,4133,1345,3182,1070,2826,858,2030,653,1962,768,1170,630,807,497,490,368,16924,2747,1797,843,2042,682,1183,498,2153,860,2558,970,1278,516,1048,432,452,218,802,447,1343,853,515,339,721,534,482,368,203,120,347,308,30199,4584,2779,1227,3490,1397,1300,629,5433,1530,3937,1030,4060,1089,2433,964,1387,679,1444,651,1390,680,951,403,842,575,289,235,60,84,404,289,6703,2197,544,410,1225,732,106,128,1000,783,1067,574,744,521,1024,598,127,158,109,177,46,55,431,464,232,277,48,81,0,153,0,153
0400000US04,04,Arizona,6935358,3888,354129,3975,1197687,1702,196728,3472,475452,3817,499445,2622,453882,2376,442224,9587,417233,9128,429169,2454,421272,2557,433857,7736,413430,7701,394533,8035,306632,7871,499685,1863,5717189,24333,271077,5800,1014617,9259,137678,4013,322323,6952,343226,7834,345579,5168,361827,8773,352971,7860,367320,4164,367137,4619,381712,7559,361887,8130,354317,7825,279091,7748,456427,3960,782513,20899,58492,4825,132125,8104,29888,2810,102489,6524,102940,6047,74530,4256,52362,3663,41006,4068,42844,3383,35332,3236,27753,3533,25627,2766,18039,2374,14625,2175,24461,3134,128607,9918,8716,2220,15130,3085,11429,1767,17886,2670,16031,2232,11942,2538,8274,1583,7924,1792,6159,1320,4942,1118,5885,1486,4391,1011,4416,1180,2070,1120,3412,1216,261727,11986,13435,2744,30609,4484,16010,2510,27238,3036,31154,3419,17693,2287,16526,2710,13781,2570,10673,1809,12515,2421,16467,2886,17942,2724,15008,2015,8709,1433,13967,2029,45322,5364,2409,784,5206,1490,1723,741,5516,1714,6094,1630,4138,1248,3235,995,1551,729,2173,846,1346,590,2040,852,3583,1232,2753,852,2137,881,1418,568
0400000US05,05,Arkansas,2968395,3103,150756,3484,521793,2863,87222,4144,200226,4303,197480,4031,185306,3730,190300,6460,180696,6131,185059,3730,190828,2857,194372,5457,187333,5503,162714,5001,128881,4272,205429,1859,2509717,16654,119747,4233,447993,6584,57947,4331,133819,5677,145362,5295,145790,4147,156223,6463,155815,5809,164923,4132,169493,3385,177535,5680,172733,5308,150781,5105,120240,4167,191316,2324,253819,13710,18960,2629,48242,6041,10319,1881,35552,3366,29991,3244,22965,3504,18524,3216,13918,2254,9989,1845,10678,1741,9767,1531,6615,1455,5875,1234,4143,794,8281,1391,116490,8062,7302,1724,12121,2032,10753,1564,19482,2783,13050,1983,9461,1494,8876,1778,6392,1249,6529,1486,5863,1343,3780,1055,3674,1112,2916,885,2098,741,4193,911,79411,7492,4436,1037,11917,2689,7190,1432,10720,1934,7601,1884,6683,1507,6284,1486,3674,1211,3547,1045,4350,1495,3070,965,3970,1115,2736,820,2080,661,1153,586,8958,2034,311,317,1520,668,1013,493,653,393,1476,843,407,407,393,366,897,925,71,79,444,413,220,188,341,242,406,188,320,217,486,388
0400000US06,06,California,39085984,10045,2009756,10267,6596961,4022,1038897,5461,2761097,5843,3124228,5065,2893997,4113,2706394,20368,2526483,20535,2606810,4143,2552937,3746,2495755,17637,2267852,17645,1835876,14590,1362679,14213,2306262,3150,34009331,68358,1694094,14620,5887305,22351,804709,7530,2129789,15988,2383060,17798,2328382,12993,2294936,21114,2232155,19543,2355022,10816,2327081,10027,2301531,15207,2102541,17118,1722070,15938,1288651,12513,2158005,7596,3153923,52596,210550,8944,496026,17235,103243,6236,366333,12823,441091,13368,349705,9894,252708,10445,196733,8903,167540,7192,149155,7061,121607,6894,98517,5219,63789,4292,42864,3894,94062,5701,1080847,29010,59173,5331,111552,9868,84460,4060,152596,7630,161124,6462,116633,6437,86839,6626,59134,4749,49354,4077,45072,4344,44749,4141,37894,3466,27400,3261,14676,2026,30191,3160,523131,20053,28327,3884,55791,6414,33445,3307,78904,5127,91906,5285,60788,4466,43948,4156,23144,3132,20381,2653,19935,2707,16586,2571,14948,2333,11975,2075,8757,1342,14296,2254,318752,16837,17612,2669,46287,5463,13040,2119,33475,3832,47047,3575,38489,4775,27963,4242,15317,2603,14513,2771,11694,2208,11282,1784,13952,1867,10642,1714,7731,1552,9708,1797
0400000US08,08,Colorado,5542282,3414,267721,3796,929766,2406,147800,3686,374927,4132,436176,3784,430994,3049,399860,8634,362296,8573,368199,3072,346557,2571,367628,6646,336659,6598,278796,5912,202548,5292,292355,2023,4546729,22932,212149,4633,794499,8180,95939,4598,230512,7262,281623,7011,319584,5872,317795,8344,307294,8044,322696,5182,306506,4064,330523,6179,308031,6425,260006,5679,191652,5298,267920,2849,456750,17287,29178,2837,72947,5587,15730,2145,67347,5177,63857,4544,51097,4038,35960,4057,28049,2889,21428,2899,18440,2480,17491,2596,10606,1559,6922,1169,4643,1087,13055,1950,277432,11203,13563,2279,29444,3824,19560,1777,37703,3866,46885,3670,34505,3046,22160,2483,14285,2550,13252,2036,10186,1681,10774,1827,9247,1800,6385,1405,3048,896,6435,1332,226933,11475,11605,1601,27860,4419,14654,2105,33296,3687,39165,4053,23126,3324,20922,3062,10111,1601,9721,1907,10108,1537,7249,1466,7716,1437,4813,994,2574,835,4013,1102,34438,5150,1226,550,5016,1755,1917,592,6069,1637,4646,1172,2682,846,3023,1028,2557,1081,1102,595,1317,619,1591,900,1059,680,670,491,631,410,932,511
0400000US09,09,Connecticut,3556297,2701,150307,2854,560084,1205,103326,1953,248726,2310,222189,2028,221952,2010,217358,6438,204022,6230,247645,1563,267680,1715,268023,6235,243891,6339,189220,4569,149858,4305,262016,1151,3136666,16246,125233,3563,502299,5348,82617,2853,194181,4829,161801,4407,179449,3385,185375,6692,182791,5981,225876,3169,246689,2606,252640,6471,230522,6044,179735,4483,143132,4235,244326,2916,243216,12272,15859,2252,38549,4400,8571,1893,26218,3227,32396,3216,23912,2899,19268,2554,12570,1866,13090,1854,12154,2098,10070,1695,8436,1574,5472,1089,4366,1148,12285,2086,68510,6358,3137,1249,7288,1793,5772,1320,10986,2228,10297,1677,5876,1282,5377,1224,3531,1425,3336,1167,4657,1307,2224,681,1843,674,1435,641,686,450,2065,937,83325,6561,5012,1239,7913,2019,5133,987,14642,2306,14589,2609,10461,1876,5528,1347,2974,1041,4289,1337,2677,872,2287,934,2197,810,1945,782,928,455,2750,1087,24580,4479,1066,630,4035,1686,1233,913,2699,804,3106,1111,2254,950,1810,783,2156,1112,1054,456,1503,656,802,449,893,498,633,385,746,535,590,375
0400000US10,10,Delaware,952449,1698,45417,1791,149406,450,25041,1423,58899,1739,69339,1541,61610,1535,60156,2833,50912,3323,58755,1005,65777,1007,67129,2945,66791,2962,58619,2576,45739,2521,68859,843,830905,8792,37602,2417,132750,2727,17881,1528,42049,3014,54025,2420,52031,2270,50398,3138,46257,3269,53511,1495,60184,2039,62067,2976,60084,2987,55184,2406,43177,2546,63705,1264,68559,6552,5394,1489,10603,2312,2109,794,9576,2257,8845,1740,5362,1275,6109,1180,2987,994,3524,1018,3248,901,2672,832,3309,1464,1019,455,1408,680,2394,726,10439,3028,573,479,2001,1149,1073,516,814,458,1341,724,1220,636,364,525,706,608,392,289,668,562,148,148,285,345,323,251,193,153,338,373,38532,4552,1828,779,3881,1321,3742,924,5696,1330,4888,1720,2878,842,3237,1056,813,500,1305,614,1543,672,1709,605,2771,779,1784,630,848,373,1609,644,4014,1272,20,34,171,197,236,273,764,411,240,227,119,137,48,64,149,155,23,37,134,130,533,537,342,273,309,292,113,142,813,415
0400000US11,11,District of Columbia,684810,1664,35903,1648,79533,173,20466,1677,54294,1731,83304,126,79050,241,58996,2611,43132,2543,38739,405,37538,476,35580,2513,34283,2514,27253,1813,20936,1756,35803,627,554225,7670,31385,1943,72273,1877,9820,1401,30852,2588,53021,2797,61148,2203,49154,2861,37729,2682,34442,1282,33709,990,32479,2283,30793,2480,25165,1746,18710,1628,33545,938,64013,6510,2819,1273,4663,1558,2270,753,8877,2077,13554,2123,9838,1798,5541,1045,3117,1014,2953,1011,2284,758,2192,938,1562,570,1657,763,1265,764,1421,591,0,208,0,208,0,208,0,208,0,208,0,208,0,208,0,208,0,208,0,208,0,208,0,208,0,208,0,208,0,208,0,208,56231,4393,1053,580,2254,1202,7601,1488,13045,2038,14331,2131,6023,1150,3554,1132,1813,843,1085,527,1105,565,796,439,1342,651,431,358,961,510,837,461,10341,2210,646,593,343,345,775,498,1520,537,2398,1048,2041,710,747,530,473,357,259,234,440,289,113,130,586,547,0,208,0,208,0,208
