GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC01,HC01_MOE_VC01,HC02_EST_VC01,HC02_MOE_VC01,HC03_EST_VC01,HC03_MOE_VC01,HC04_EST_VC01,HC04_MOE_VC01,HC01_EST_VC03,HC01_MOE_VC03,HC02_EST_VC03,HC02_MOE_VC03,HC03_EST_VC03,HC03_MOE_VC03,HC04_EST_VC03,HC04_MOE_VC03,HC01_EST_VC04,HC01_MOE_VC04,HC02_EST_VC04,HC02_MOE_VC04,HC03_EST_VC04,HC03_MOE_VC04,HC04_EST_VC04,HC04_MOE_VC04,HC01_EST_VC05,HC01_MOE_VC05,HC02_EST_VC05,HC02_MOE_VC05,HC03_EST_VC05,HC03_MOE_VC05,HC04_EST_VC05,HC04_MOE_VC05,HC01_EST_VC06,HC01_MOE_VC06,HC02_EST_VC06,HC02_MOE_VC06,HC03_EST_VC06,HC03_MOE_VC06,HC04_EST_VC06,HC04_MOE_VC06
Id,Id2,Geography,Total; Estimate; All households,Total; Margin of Error; All households,Percent; Estimate; All households,Percent; Margin of Error; All households,Limited English-speaking households; Estimate; All households,Limited English-speaking households; Margin of Error; All households,Percent limited English-speaking households; Estimate; All households,Percent limited English-speaking households; Margin of Error; All households,Total; Estimate; Households speaking -- - Spanish,Total; Margin of Error; Households speaking -- - Spanish,Percent; Estimate; Households speaking -- - Spanish,Percent; Margin of Error; Households speaking -- - Spanish,Limited English-speaking households; Estimate; Households speaking -- - Spanish,Limited English-speaking households; Margin of Error; Households speaking -- - Spanish,Percent limited English-speaking households; Estimate; Households speaking -- - Spanish,Percent limited English-speaking households; Margin of Error; Households speaking -- - Spanish,Total; Estimate; Households speaking -- - Other Indo-European languages,Total; Margin of Error; Households speaking -- - Other Indo-European languages,Percent; Estimate; Households speaking -- - Other Indo-European languages,Percent; Margin of Error; Households speaking -- - Other Indo-European languages,Limited English-speaking households; Estimate; Households speaking -- - Other Indo-European languages,Limited English-speaking households; Margin of Error; Households speaking -- - Other Indo-European languages,Percent limited English-speaking households; Estimate; Households speaking -- - Other Indo-European languages,Percent limited English-speaking households; Margin of Error; Households speaking -- - Other Indo-European languages,Total; Estimate; Households speaking -- - Asian and Pacific Island languages,Total; Margin of Error; Households speaking -- - Asian and Pacific Island languages,Percent; Estimate; Households speaking -- - Asian and Pacific Island languages,Percent; Margin of Error; Households speaking -- - Asian and Pacific Island languages,Limited English-speaking households; Estimate; Households speaking -- - Asian and Pacific Island languages,Limited English-speaking households; Margin of Error; Households speaking -- - Asian and Pacific Island languages,Percent limited English-speaking households; Estimate; Households speaking -- - Asian and Pacific Island languages,Percent limited English-speaking households; Margin of Error; Households speaking -- - Asian and Pacific Island languages,Total; Estimate; Households speaking -- - Other languages,Total; Margin of Error; Households speaking -- - Other languages,Percent; Estimate; Households speaking -- - Other languages,Percent; Margin of Error; Households speaking -- - Other languages,Limited English-speaking households; Estimate; Households speaking -- - Other languages,Limited English-speaking households; Margin of Error; Households speaking -- - Other languages,Percent limited English-speaking households; Estimate; Households speaking -- - Other languages,Percent limited English-speaking households; Margin of Error; Households speaking -- - Other languages
0400000US01,01,Alabama,1841665,12421,(X),(X),18324,2479,1.0,0.1,55082,3264,3.0,0.2,12019,1918,21.8,3.2,21551,2068,1.2,0.1,2269,804,10.5,3.6,18759,1733,1.0,0.1,3541,908,18.9,4.8,5999,1400,0.3,0.1,495,418,8.3,6.6
0400000US02,02,Alaska,250741,3074,(X),(X),5207,1061,2.1,0.4,10814,1673,4.3,0.7,1424,750,13.2,6.3,7915,1417,3.2,0.6,558,400,7.0,4.9,14074,1197,5.6,0.5,2620,625,18.6,4.5,14117,1594,5.6,0.6,605,268,4.3,1.9
0400000US04,04,Arizona,2552972,11005,(X),(X),103077,5455,4.0,0.2,505707,8625,19.8,0.3,73950,5082,14.6,1.0,70023,4097,2.7,0.2,5951,1091,8.5,1.4,60119,2478,2.4,0.1,11442,1477,19.0,2.4,71247,3589,2.8,0.1,11734,1344,16.5,1.7
0400000US05,05,Arkansas,1153082,8560,(X),(X),17628,2564,1.5,0.2,55464,2932,4.8,0.3,12108,2116,21.8,3.7,11454,1889,1.0,0.2,788,570,6.9,4.8,14010,1726,1.2,0.1,4471,1207,31.9,7.3,2877,1011,0.2,0.1,261,224,9.1,7.4
0400000US06,06,California,13005097,17539,(X),(X),1171562,15323,9.0,0.1,3365758,17218,25.9,0.1,653537,11949,19.4,0.3,767977,12156,5.9,0.1,116492,5566,15.2,0.7,1449961,11467,11.1,0.1,376465,8888,26.0,0.6,153797,6804,1.2,0.1,25068,2842,16.3,1.4
0400000US08,08,Colorado,2139207,8774,(X),(X),56775,4176,2.7,0.2,246351,6290,11.5,0.3,37429,3333,15.2,1.2,66697,4261,3.1,0.2,5817,1254,8.7,1.8,45325,3030,2.1,0.1,10382,1814,22.9,3.7,24047,2694,1.1,0.1,3147,945,13.1,3.8
0400000US09,09,Connecticut,1356762,6513,(X),(X),72580,4473,5.3,0.3,165622,4218,12.2,0.3,44051,3110,26.6,1.7,108800,5669,8.0,0.4,18012,2153,16.6,1.8,35401,2310,2.6,0.2,7715,1394,21.8,3.6,18986,2306,1.4,0.2,2802,872,14.8,4.3
0400000US10,10,Delaware,357937,4266,(X),(X),8574,1512,2.4,0.4,24542,1848,6.9,0.5,4970,1337,20.3,5.4,13553,1883,3.8,0.5,2045,770,15.1,5.1,10305,1258,2.9,0.4,1487,410,14.4,4.0,3706,1057,1.0,0.3,72,120,1.9,3.3
0400000US11,11,District of Columbia,281475,3302,(X),(X),10135,1740,3.6,0.6,23988,1963,8.5,0.7,5605,1296,23.4,5.0,17094,1881,6.1,0.7,1341,618,7.8,3.5,6751,1103,2.4,0.4,1694,717,25.1,9.1,6490,1253,2.3,0.4,1495,617,23.0,8.1
