GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC01,HC01_MOE_VC01,HC02_EST_VC01,HC02_MOE_VC01,HC03_EST_VC01,HC03_MOE_VC01,HC04_EST_VC01,HC04_MOE_VC01,HC05_EST_VC01,HC05_MOE_VC01,HC06_EST_VC01,HC06_MOE_VC01,HC01_EST_VC02,HC01_MOE_VC02,HC02_EST_VC02,HC02_MOE_VC02,HC03_EST_VC02,HC03_MOE_VC02,HC04_EST_VC02,HC04_MOE_VC02,HC05_EST_VC02,HC05_MOE_VC02,HC06_EST_VC02,HC06_MOE_VC02,HC01_EST_VC03,HC01_MOE_VC03,HC02_EST_VC03,HC02_MOE_VC03,HC03_EST_VC03,HC03_MOE_VC03,HC04_EST_VC03,HC04_MOE_VC03,HC05_EST_VC03,HC05_MOE_VC03,HC06_EST_VC03,HC06_MOE_VC03,HC01_EST_VC04,HC01_MOE_VC04,HC02_EST_VC04,HC02_MOE_VC04,HC03_EST_VC04,HC03_MOE_VC04,HC04_EST_VC04,HC04_MOE_VC04,HC05_EST_VC04,HC05_MOE_VC04,HC06_EST_VC04,HC06_MOE_VC04,HC01_EST_VC05,HC01_MOE_VC05,HC02_EST_VC05,HC02_MOE_VC05,HC03_EST_VC05,HC03_MOE_VC05,HC04_EST_VC05,HC04_MOE_VC05,HC05_EST_VC05,HC05_MOE_VC05,HC06_EST_VC05,HC06_MOE_VC05,HC01_EST_VC06,HC01_MOE_VC06,HC02_EST_VC06,HC02_MOE_VC06,HC03_EST_VC06,HC03_MOE_VC06,HC04_EST_VC06,HC04_MOE_VC06,HC05_EST_VC06,HC05_MOE_VC06,HC06_EST_VC06,HC06_MOE_VC06,HC01_EST_VC09,HC01_MOE_VC09,HC02_EST_VC09,HC02_MOE_VC09,HC03_EST_VC09,HC03_MOE_VC09,HC04_EST_VC09,HC04_MOE_VC09,HC05_EST_VC09,HC05_MOE_VC09,HC06_EST_VC09,HC06_MOE_VC09
Id,Id2,Geography,Total; Estimate; Civilian employed population 16 years and over,Total; Margin of Error; Civilian employed population 16 years and over,Employee of private company workers; Estimate; Civilian employed population 16 years and over,Employee of private company workers; Margin of Error; Civilian employed population 16 years and over,Self-employed in own incorporated business workers; Estimate; Civilian employed population 16 years and over,Self-employed in own incorporated business workers; Margin of Error; Civilian employed population 16 years and over,Private not-for-profit wage and salary workers; Estimate; Civilian employed population 16 years and over,Private not-for-profit wage and salary workers; Margin of Error; Civilian employed population 16 years and over,"Local, state, and federal government workers; Estimate; Civilian employed population 16 years and over","Local, state, and federal government workers; Margin of Error; Civilian employed population 16 years and over",Self-employed in own not incorporated business workers and unpaid family workers; Estimate; Civilian employed population 16 years and over,Self-employed in own not incorporated business workers and unpaid family workers; Margin of Error; Civilian employed population 16 years and over,"Total; Estimate; Management, business, science, and arts occupations","Total; Margin of Error; Management, business, science, and arts occupations","Employee of private company workers; Estimate; Management, business, science, and arts occupations","Employee of private company workers; Margin of Error; Management, business, science, and arts occupations","Self-employed in own incorporated business workers; Estimate; Management, business, science, and arts occupations","Self-employed in own incorporated business workers; Margin of Error; Management, business, science, and arts occupations","Private not-for-profit wage and salary workers; Estimate; Management, business, science, and arts occupations","Private not-for-profit wage and salary workers; Margin of Error; Management, business, science, and arts occupations","Local, state, and federal government workers; Estimate; Management, business, science, and arts occupations","Local, state, and federal government workers; Margin of Error; Management, business, science, and arts occupations","Self-employed in own not incorporated business workers and unpaid family workers; Estimate; Management, business, science, and arts occupations","Self-employed in own not incorporated business workers and unpaid family workers; Margin of Error; Management, business, science, and arts occupations",Total; Estimate; Service occupations,Total; Margin of Error; Service occupations,Employee of private company workers; Estimate; Service occupations,Employee of private company workers; Margin of Error; Service occupations,Self-employed in own incorporated business workers; Estimate; Service occupations,Self-employed in own incorporated business workers; Margin of Error; Service occupations,Private not-for-profit wage and salary workers; Estimate; Service occupations,Private not-for-profit wage and salary workers; Margin of Error; Service occupations,"Local, state, and federal government workers; Estimate; Service occupations","Local, state, and federal government workers; Margin of Error; Service occupations",Self-employed in own not incorporated business workers and unpaid family workers; Estimate; Service occupations,Self-employed in own not incorporated business workers and unpaid family workers; Margin of Error; Service occupations,Total; Estimate; Sales and office occupations,Total; Margin of Error; Sales and office occupations,Employee of private company workers; Estimate; Sales and office occupations,Employee of private company workers; Margin of Error; Sales and office occupations,Self-employed in own incorporated business workers; Estimate; Sales and office occupations,Self-employed in own incorporated business workers; Margin of Error; Sales and office occupations,Private not-for-profit wage and salary workers; Estimate; Sales and office occupations,Private not-for-profit wage and salary workers; Margin of Error; Sales and office occupations,"Local, state, and federal government workers; Estimate; Sales and office occupations","Local, state, and federal government workers; Margin of Error; Sales and office occupations",Self-employed in own not incorporated business workers and unpaid family workers; Estimate; Sales and office occupations,Self-employed in own not incorporated business workers and unpaid family workers; Margin of Error; Sales and office occupations,"Total; Estimate; Natural resources, construction, and maintenance occupations","Total; Margin of Error; Natural resources, construction, and maintenance occupations","Employee of private company workers; Estimate; Natural resources, construction, and maintenance occupations","Employee of private company workers; Margin of Error; Natural resources, construction, and maintenance occupations","Self-employed in own incorporated business workers; Estimate; Natural resources, construction, and maintenance occupations","Self-employed in own incorporated business workers; Margin of Error; Natural resources, construction, and maintenance occupations","Private not-for-profit wage and salary workers; Estimate; Natural resources, construction, and maintenance occupations","Private not-for-profit wage and salary workers; Margin of Error; Natural resources, construction, and maintenance occupations","Local, state, and federal government workers; Estimate; Natural resources, construction, and maintenance occupations","Local, state, and federal government workers; Margin of Error; Natural resources, construction, and maintenance occupations","Self-employed in own not incorporated business workers and unpaid family workers; Estimate; Natural resources, construction, and maintenance occupations","Self-employed in own not incorporated business workers and unpaid family workers; Margin of Error; Natural resources, construction, and maintenance occupations","Total; Estimate; Production, transportation, and material moving occupations","Total; Margin of Error; Production, transportation, and material moving occupations","Employee of private company workers; Estimate; Production, transportation, and material moving occupations","Employee of private company workers; Margin of Error; Production, transportation, and material moving occupations","Self-employed in own incorporated business workers; Estimate; Production, transportation, and material moving occupations","Self-employed in own incorporated business workers; Margin of Error; Production, transportation, and material moving occupations","Private not-for-profit wage and salary workers; Estimate; Production, transportation, and material moving occupations","Private not-for-profit wage and salary workers; Margin of Error; Production, transportation, and material moving occupations","Local, state, and federal government workers; Estimate; Production, transportation, and material moving occupations","Local, state, and federal government workers; Margin of Error; Production, transportation, and material moving occupations","Self-employed in own not incorporated business workers and unpaid family workers; Estimate; Production, transportation, and material moving occupations","Self-employed in own not incorporated business workers and unpaid family workers; Margin of Error; Production, transportation, and material moving occupations",Total; Estimate; PERCENT ALLOCATED - Occupation,Total; Margin of Error; PERCENT ALLOCATED - Occupation,Employee of private company workers; Estimate; PERCENT ALLOCATED - Occupation,Employee of private company workers; Margin of Error; PERCENT ALLOCATED - Occupation,Self-employed in own incorporated business workers; Estimate; PERCENT ALLOCATED - Occupation,Self-employed in own incorporated business workers; Margin of Error; PERCENT ALLOCATED - Occupation,Private not-for-profit wage and salary workers; Estimate; PERCENT ALLOCATED - Occupation,Private not-for-profit wage and salary workers; Margin of Error; PERCENT ALLOCATED - Occupation,"Local, state, and federal government workers; Estimate; PERCENT ALLOCATED - Occupation","Local, state, and federal government workers; Margin of Error; PERCENT ALLOCATED - Occupation",Self-employed in own not incorporated business workers and unpaid family workers; Estimate; PERCENT ALLOCATED - Occupation,Self-employed in own not incorporated business workers and unpaid family workers; Margin of Error; PERCENT ALLOCATED - Occupation
0400000US01,01,Alabama,2065885,17766,70.0,0.6,3.3,0.2,6.7,0.3,14.6,0.4,5.4,0.3,718943,13801,55.4,1.2,4.3,0.4,12.5,0.6,23.1,0.9,4.7,0.5,345383,9694,68.3,1.6,2.3,0.5,5.4,0.8,15.5,1.1,8.6,0.8,481396,10746,78.6,0.8,3.5,0.5,4.5,0.5,9.9,0.6,3.4,0.5,193792,6582,75.5,1.8,3.8,0.8,1.5,0.5,7.8,1.1,11.4,1.4,326371,11813,88.1,1.2,1.3,0.4,1.8,0.4,6.1,0.7,2.7,0.5,12.5,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X)
0400000US02,02,Alaska,344982,5496,56.0,1.3,3.1,0.5,9.5,0.8,25.0,1.1,6.4,0.6,128922,5582,36.8,2.4,4.2,0.9,15.7,1.7,36.6,1.9,6.7,1.2,59915,3879,58.0,3.4,0.9,0.5,9.2,2.0,24.3,3.1,7.6,1.7,80166,4243,67.1,2.7,2.7,0.8,5.9,1.2,20.3,2.4,3.9,1.0,38802,3295,68.6,2.8,5.1,1.7,3.5,1.5,11.4,2.3,11.4,2.4,37177,3324,81.9,3.1,1.8,0.9,3.0,1.8,9.9,2.3,3.4,1.1,10.0,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X)
0400000US04,04,Arizona,3125954,17075,70.6,0.5,3.8,0.2,6.3,0.3,13.2,0.4,6.1,0.2,1129565,17792,59.8,0.9,5.4,0.3,11.0,0.5,19.2,0.8,4.6,0.3,601147,11652,68.2,1.1,1.9,0.3,5.3,0.6,15.5,0.9,9.1,0.7,815061,15892,80.4,0.8,3.5,0.4,3.7,0.4,8.2,0.5,4.3,0.4,279197,11141,75.5,1.6,4.5,0.8,1.5,0.6,6.5,0.8,12.0,1.1,300984,10920,84.9,1.1,2.2,0.4,2.6,0.5,5.3,0.7,5.1,0.6,15.9,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X)
0400000US05,05,Arkansas,1296881,12974,68.1,0.6,3.3,0.3,7.3,0.5,15.1,0.5,6.2,0.3,440727,10322,52.0,1.2,4.1,0.5,13.7,1.0,24.6,1.1,5.4,0.5,220112,8277,64.2,1.8,2.3,0.7,6.7,1.0,16.5,1.2,10.2,1.1,296139,9367,77.9,1.3,4.0,0.7,4.9,0.7,10.0,0.9,3.2,0.6,130184,5858,72.9,2.1,4.2,1.0,1.5,0.7,6.7,1.0,14.6,1.7,209719,7154,89.1,1.0,1.1,0.3,1.7,0.4,5.7,0.8,2.4,0.5,11.1,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X)
0400000US06,06,California,18757501,47615,68.5,0.2,3.6,0.1,6.3,0.1,13.4,0.2,8.2,0.1,7267883,43002,57.8,0.3,5.1,0.1,10.9,0.2,18.7,0.3,7.6,0.2,3492353,32915,65.7,0.5,2.2,0.1,4.1,0.2,16.6,0.4,11.4,0.3,4220459,34139,77.0,0.4,3.5,0.2,4.5,0.2,9.2,0.3,5.7,0.2,1704929,21558,77.7,0.6,3.0,0.2,1.3,0.1,5.1,0.3,12.9,0.5,2071877,24910,85.8,0.5,2.0,0.2,1.9,0.1,4.4,0.3,5.9,0.3,14.6,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X)
0400000US08,08,Colorado,2899926,17053,67.5,0.4,5.3,0.2,7.6,0.2,13.3,0.3,6.2,0.2,1216391,14744,56.3,0.7,7.0,0.3,12.3,0.5,18.5,0.6,6.0,0.4,492327,12265,70.1,1.3,2.5,0.4,5.4,0.6,14.0,0.8,8.0,0.8,649479,13849,76.3,0.9,4.8,0.4,5.2,0.4,9.4,0.6,4.4,0.4,273143,8332,75.0,1.5,6.6,1.0,2.0,0.5,6.1,0.7,10.3,1.0,268586,10109,84.5,1.2,2.8,0.5,2.1,0.4,6.0,0.9,4.7,0.7,14.0,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X)
0400000US09,09,Connecticut,1805023,15003,67.4,0.7,3.6,0.2,9.7,0.4,12.5,0.5,6.8,0.4,787111,13579,57.8,1.1,4.5,0.3,14.8,0.7,17.0,0.8,5.9,0.5,327199,12201,67.2,1.5,2.7,0.5,7.8,1.0,13.3,1.0,9.0,0.9,393387,10576,78.7,1.0,2.5,0.4,6.2,0.7,8.4,0.8,4.2,0.6,132982,6848,68.2,2.3,4.9,0.8,1.8,0.6,6.8,1.1,18.3,2.0,164344,7326,86.5,1.6,2.4,0.6,3.1,0.8,4.0,0.8,4.0,1.0,11.4,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X)
0400000US10,10,Delaware,436376,6831,69.4,1.2,4.1,0.6,8.3,0.6,13.7,0.9,4.6,0.5,177418,6347,58.8,2.0,4.8,0.7,13.1,1.3,19.4,1.7,3.8,0.8,69096,4671,69.9,3.1,2.4,0.8,8.3,1.8,13.5,2.6,5.9,1.2,102606,5429,76.7,2.2,3.8,1.2,5.2,1.1,10.5,1.6,3.8,0.9,36868,3341,78.1,3.4,7.7,2.1,0.7,0.7,5.6,1.7,7.9,2.1,50388,3685,84.6,3.3,1.9,1.5,2.8,1.2,6.5,2.3,4.2,1.8,11.3,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X)
0400000US11,11,District of Columbia,378780,6053,47.1,1.4,3.0,0.4,20.2,1.3,25.0,1.1,4.7,0.6,239891,5944,37.9,1.7,3.2,0.5,24.9,1.6,29.4,1.5,4.6,0.8,54442,3931,66.4,3.7,3.1,1.2,11.3,3.2,14.3,2.6,4.9,1.7,60355,4052,59.1,2.9,2.3,1.1,15.6,2.5,20.6,2.1,2.5,1.1,10127,2231,61.3,11.4,0.7,0.9,3.0,3.6,19.8,9.5,15.2,7.5,13965,2251,68.7,6.0,4.0,2.2,6.3,3.5,12.4,4.4,8.6,3.9,19.1,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X)
