GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC01,HC01_MOE_VC01,HC02_EST_VC01,HC02_MOE_VC01,HC01_EST_VC04,HC01_MOE_VC04,HC02_EST_VC04,HC02_MOE_VC04,HC01_EST_VC05,HC01_MOE_VC05,HC02_EST_VC05,HC02_MOE_VC05,HC01_EST_VC06,HC01_MOE_VC06,HC02_EST_VC06,HC02_MOE_VC06,HC01_EST_VC07,HC01_MOE_VC07,HC02_EST_VC07,HC02_MOE_VC07,HC01_EST_VC08,HC01_MOE_VC08,HC02_EST_VC08,HC02_MOE_VC08,HC01_EST_VC09,HC01_MOE_VC09,HC02_EST_VC09,HC02_MOE_VC09,HC01_EST_VC10,HC01_MOE_VC10,HC02_EST_VC10,HC02_MOE_VC10,HC01_EST_VC11,HC01_MOE_VC11,HC02_EST_VC11,HC02_MOE_VC11,HC01_EST_VC12,HC01_MOE_VC12,HC02_EST_VC12,HC02_MOE_VC12,HC01_EST_VC13,HC01_MOE_VC13,HC02_EST_VC13,HC02_MOE_VC13,HC01_EST_VC16,HC01_MOE_VC16,HC02_EST_VC16,HC02_MOE_VC16,HC01_EST_VC17,HC01_MOE_VC17,HC02_EST_VC17,HC02_MOE_VC17,HC01_EST_VC18,HC01_MOE_VC18,HC02_EST_VC18,HC02_MOE_VC18,HC01_EST_VC19,HC01_MOE_VC19,HC02_EST_VC19,HC02_MOE_VC19,HC01_EST_VC20,HC01_MOE_VC20,HC02_EST_VC20,HC02_MOE_VC20,HC01_EST_VC21,HC01_MOE_VC21,HC02_EST_VC21,HC02_MOE_VC21,HC01_EST_VC22,HC01_MOE_VC22,HC02_EST_VC22,HC02_MOE_VC22,HC01_EST_VC23,HC01_MOE_VC23,HC02_EST_VC23,HC02_MOE_VC23,HC01_EST_VC26,HC01_MOE_VC26,HC02_EST_VC26,HC02_MOE_VC26,HC01_EST_VC27,HC01_MOE_VC27,HC02_EST_VC27,HC02_MOE_VC27,HC01_EST_VC28,HC01_MOE_VC28,HC02_EST_VC28,HC02_MOE_VC28,HC01_EST_VC29,HC01_MOE_VC29,HC02_EST_VC29,HC02_MOE_VC29,HC01_EST_VC30,HC01_MOE_VC30,HC02_EST_VC30,HC02_MOE_VC30,HC01_EST_VC31,HC01_MOE_VC31,HC02_EST_VC31,HC02_MOE_VC31,HC01_EST_VC32,HC01_MOE_VC32,HC02_EST_VC32,HC02_MOE_VC32,HC01_EST_VC33,HC01_MOE_VC33,HC02_EST_VC33,HC02_MOE_VC33,HC01_EST_VC34,HC01_MOE_VC34,HC02_EST_VC34,HC02_MOE_VC34,HC01_EST_VC35,HC01_MOE_VC35,HC02_EST_VC35,HC02_MOE_VC35,HC01_EST_VC36,HC01_MOE_VC36,HC02_EST_VC36,HC02_MOE_VC36,HC01_EST_VC37,HC01_MOE_VC37,HC02_EST_VC37,HC02_MOE_VC37
Id,Id2,Geography,Total; Estimate; Total households,Total; Margin of Error; Total households,Percent; Estimate; Total households,Percent; Margin of Error; Total households,Total; Estimate; TYPES OF COMPUTER - Has one or more types of computing devices:,Total; Margin of Error; TYPES OF COMPUTER - Has one or more types of computing devices:,Percent; Estimate; TYPES OF COMPUTER - Has one or more types of computing devices:,Percent; Margin of Error; TYPES OF COMPUTER - Has one or more types of computing devices:,Total; Estimate; TYPES OF COMPUTER - Has one or more types of computing devices: - Desktop or laptop,Total; Margin of Error; TYPES OF COMPUTER - Has one or more types of computing devices: - Desktop or laptop,Percent; Estimate; TYPES OF COMPUTER - Has one or more types of computing devices: - Desktop or laptop,Percent; Margin of Error; TYPES OF COMPUTER - Has one or more types of computing devices: - Desktop or laptop,Total; Estimate; TYPES OF COMPUTER - Has one or more types of computing devices: - Desktop or laptop - Desktop or laptop with no other type of computing device,Total; Margin of Error; TYPES OF COMPUTER - Has one or more types of computing devices: - Desktop or laptop - Desktop or laptop with no other type of computing device,Percent; Estimate; TYPES OF COMPUTER - Has one or more types of computing devices: - Desktop or laptop - Desktop or laptop with no other type of computing device,Percent; Margin of Error; TYPES OF COMPUTER - Has one or more types of computing devices: - Desktop or laptop - Desktop or laptop with no other type of computing device,Total; Estimate; TYPES OF COMPUTER - Has one or more types of computing devices: - Smartphone,Total; Margin of Error; TYPES OF COMPUTER - Has one or more types of computing devices: - Smartphone,Percent; Estimate; TYPES OF COMPUTER - Has one or more types of computing devices: - Smartphone,Percent; Margin of Error; TYPES OF COMPUTER - Has one or more types of computing devices: - Smartphone,Total; Estimate; TYPES OF COMPUTER - Has one or more types of computing devices: - Smartphone - Smartphone with no other type of computing device,Total; Margin of Error; TYPES OF COMPUTER - Has one or more types of computing devices: - Smartphone - Smartphone with no other type of computing device,Percent; Estimate; TYPES OF COMPUTER - Has one or more types of computing devices: - Smartphone - Smartphone with no other type of computing device,Percent; Margin of Error; TYPES OF COMPUTER - Has one or more types of computing devices: - Smartphone - Smartphone with no other type of computing device,Total; Estimate; TYPES OF COMPUTER - Has one or more types of computing devices: - Tablet or other portable wireless computer,Total; Margin of Error; TYPES OF COMPUTER - Has one or more types of computing devices: - Tablet or other portable wireless computer,Percent; Estimate; TYPES OF COMPUTER - Has one or more types of computing devices: - Tablet or other portable wireless computer,Percent; Margin of Error; TYPES OF COMPUTER - Has one or more types of computing devices: - Tablet or other portable wireless computer,Total; Estimate; TYPES OF COMPUTER - Has one or more types of computing devices: - Tablet or other portable wireless computer - Tablet or other portable wireless computer with no other type of computing device,Total; Margin of Error; TYPES OF COMPUTER - Has one or more types of computing devices: - Tablet or other portable wireless computer - Tablet or other portable wireless computer with no other type of computing device,Percent; Estimate; TYPES OF COMPUTER - Has one or more types of computing devices: - Tablet or other portable wireless computer - Tablet or other portable wireless computer with no other type of computing device,Percent; Margin of Error; TYPES OF COMPUTER - Has one or more types of computing devices: - Tablet or other portable wireless computer - Tablet or other portable wireless computer with no other type of computing device,Total; Estimate; TYPES OF COMPUTER - Has one or more types of computing devices: - Other computer,Total; Margin of Error; TYPES OF COMPUTER - Has one or more types of computing devices: - Other computer,Percent; Estimate; TYPES OF COMPUTER - Has one or more types of computing devices: - Other computer,Percent; Margin of Error; TYPES OF COMPUTER - Has one or more types of computing devices: - Other computer,Total; Estimate; TYPES OF COMPUTER - Has one or more types of computing devices: - Other computer - Other computer with no other type of computing device,Total; Margin of Error; TYPES OF COMPUTER - Has one or more types of computing devices: - Other computer - Other computer with no other type of computing device,Percent; Estimate; TYPES OF COMPUTER - Has one or more types of computing devices: - Other computer - Other computer with no other type of computing device,Percent; Margin of Error; TYPES OF COMPUTER - Has one or more types of computing devices: - Other computer - Other computer with no other type of computing device,Total; Estimate; TYPES OF COMPUTER - No computer,Total; Margin of Error; TYPES OF COMPUTER - No computer,Percent; Estimate; TYPES OF COMPUTER - No computer,Percent; Margin of Error; TYPES OF COMPUTER - No computer,Total; Estimate; TYPE OF INTERNET SUBSCRIPTIONS - With an Internet subscription:,Total; Margin of Error; TYPE OF INTERNET SUBSCRIPTIONS - With an Internet subscription:,Percent; Estimate; TYPE OF INTERNET SUBSCRIPTIONS - With an Internet subscription:,Percent; Margin of Error; TYPE OF INTERNET SUBSCRIPTIONS - With an Internet subscription:,Total; Estimate; TYPE OF INTERNET SUBSCRIPTIONS - With an Internet subscription: - Dial-up with no other type of Internet subscription,Total; Margin of Error; TYPE OF INTERNET SUBSCRIPTIONS - With an Internet subscription: - Dial-up with no other type of Internet subscription,Percent; Estimate; TYPE OF INTERNET SUBSCRIPTIONS - With an Internet subscription: - Dial-up with no other type of Internet subscription,Percent; Margin of Error; TYPE OF INTERNET SUBSCRIPTIONS - With an Internet subscription: - Dial-up with no other type of Internet subscription,Total; Estimate; TYPE OF INTERNET SUBSCRIPTIONS - With an Internet subscription: - Broadband of any type,Total; Margin of Error; TYPE OF INTERNET SUBSCRIPTIONS - With an Internet subscription: - Broadband of any type,Percent; Estimate; TYPE OF INTERNET SUBSCRIPTIONS - With an Internet subscription: - Broadband of any type,Percent; Margin of Error; TYPE OF INTERNET SUBSCRIPTIONS - With an Internet subscription: - Broadband of any type,Total; Estimate; TYPE OF INTERNET SUBSCRIPTIONS - With an Internet subscription: - Broadband of any type - Cellular data plan,Total; Margin of Error; TYPE OF INTERNET SUBSCRIPTIONS - With an Internet subscription: - Broadband of any type - Cellular data plan,Percent; Estimate; TYPE OF INTERNET SUBSCRIPTIONS - With an Internet subscription: - Broadband of any type - Cellular data plan,Percent; Margin of Error; TYPE OF INTERNET SUBSCRIPTIONS - With an Internet subscription: - Broadband of any type - Cellular data plan,Total; Estimate; TYPE OF INTERNET SUBSCRIPTIONS - With an Internet subscription: - Broadband of any type - Cellular data plan - Cellular data plan with no other type of Internet subscription,Total; Margin of Error; TYPE OF INTERNET SUBSCRIPTIONS - With an Internet subscription: - Broadband of any type - Cellular data plan - Cellular data plan with no other type of Internet subscription,Percent; Estimate; TYPE OF INTERNET SUBSCRIPTIONS - With an Internet subscription: - Broadband of any type - Cellular data plan - Cellular data plan with no other type of Internet subscription,Percent; Margin of Error; TYPE OF INTERNET SUBSCRIPTIONS - With an Internet subscription: - Broadband of any type - Cellular data plan - Cellular data plan with no other type of Internet subscription,"Total; Estimate; TYPE OF INTERNET SUBSCRIPTIONS - With an Internet subscription: - Broadband of any type - Broadband such as cable, fiber optic or DSL","Total; Margin of Error; TYPE OF INTERNET SUBSCRIPTIONS - With an Internet subscription: - Broadband of any type - Broadband such as cable, fiber optic or DSL","Percent; Estimate; TYPE OF INTERNET SUBSCRIPTIONS - With an Internet subscription: - Broadband of any type - Broadband such as cable, fiber optic or DSL","Percent; Margin of Error; TYPE OF INTERNET SUBSCRIPTIONS - With an Internet subscription: - Broadband of any type - Broadband such as cable, fiber optic or DSL",Total; Estimate; TYPE OF INTERNET SUBSCRIPTIONS - With an Internet subscription: - Broadband of any type - Satellite Internet service,Total; Margin of Error; TYPE OF INTERNET SUBSCRIPTIONS - With an Internet subscription: - Broadband of any type - Satellite Internet service,Percent; Estimate; TYPE OF INTERNET SUBSCRIPTIONS - With an Internet subscription: - Broadband of any type - Satellite Internet service,Percent; Margin of Error; TYPE OF INTERNET SUBSCRIPTIONS - With an Internet subscription: - Broadband of any type - Satellite Internet service,Total; Estimate; TYPE OF INTERNET SUBSCRIPTIONS - Without an Internet subscription,Total; Margin of Error; TYPE OF INTERNET SUBSCRIPTIONS - Without an Internet subscription,Percent; Estimate; TYPE OF INTERNET SUBSCRIPTIONS - Without an Internet subscription,Percent; Margin of Error; TYPE OF INTERNET SUBSCRIPTIONS - Without an Internet subscription,"Total; Estimate; HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS) - Less than $20,000:","Total; Margin of Error; HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS) - Less than $20,000:","Percent; Estimate; HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS) - Less than $20,000:","Percent; Margin of Error; HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS) - Less than $20,000:","Total; Estimate; HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS) - Less than $20,000: - With dial-up Internet subscription alone","Total; Margin of Error; HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS) - Less than $20,000: - With dial-up Internet subscription alone","Percent; Estimate; HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS) - Less than $20,000: - With dial-up Internet subscription alone","Percent; Margin of Error; HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS) - Less than $20,000: - With dial-up Internet subscription alone","Total; Estimate; HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS) - Less than $20,000: - With a broadband Internet subscription","Total; Margin of Error; HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS) - Less than $20,000: - With a broadband Internet subscription","Percent; Estimate; HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS) - Less than $20,000: - With a broadband Internet subscription","Percent; Margin of Error; HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS) - Less than $20,000: - With a broadband Internet subscription","Total; Estimate; HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS) - Less than $20,000: - Without an Internet subscription","Total; Margin of Error; HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS) - Less than $20,000: - Without an Internet subscription","Percent; Estimate; HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS) - Less than $20,000: - Without an Internet subscription","Percent; Margin of Error; HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS) - Less than $20,000: - Without an Internet subscription","Total; Estimate; HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS) - $20,000 to $74,999:","Total; Margin of Error; HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS) - $20,000 to $74,999:","Percent; Estimate; HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS) - $20,000 to $74,999:","Percent; Margin of Error; HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS) - $20,000 to $74,999:","Total; Estimate; HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS) - $20,000 to $74,999: - With dial-up Internet subscription alone","Total; Margin of Error; HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS) - $20,000 to $74,999: - With dial-up Internet subscription alone","Percent; Estimate; HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS) - $20,000 to $74,999: - With dial-up Internet subscription alone","Percent; Margin of Error; HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS) - $20,000 to $74,999: - With dial-up Internet subscription alone","Total; Estimate; HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS) - $20,000 to $74,999: - With a broadband Internet subscription","Total; Margin of Error; HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS) - $20,000 to $74,999: - With a broadband Internet subscription","Percent; Estimate; HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS) - $20,000 to $74,999: - With a broadband Internet subscription","Percent; Margin of Error; HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS) - $20,000 to $74,999: - With a broadband Internet subscription","Total; Estimate; HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS) - $20,000 to $74,999: - Without an Internet subscription","Total; Margin of Error; HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS) - $20,000 to $74,999: - Without an Internet subscription","Percent; Estimate; HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS) - $20,000 to $74,999: - Without an Internet subscription","Percent; Margin of Error; HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS) - $20,000 to $74,999: - Without an Internet subscription","Total; Estimate; HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS) - $75,000 or more:","Total; Margin of Error; HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS) - $75,000 or more:","Percent; Estimate; HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS) - $75,000 or more:","Percent; Margin of Error; HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS) - $75,000 or more:","Total; Estimate; HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS) - $75,000 or more: - With dial-up Internet subscription alone","Total; Margin of Error; HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS) - $75,000 or more: - With dial-up Internet subscription alone","Percent; Estimate; HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS) - $75,000 or more: - With dial-up Internet subscription alone","Percent; Margin of Error; HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS) - $75,000 or more: - With dial-up Internet subscription alone","Total; Estimate; HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS) - $75,000 or more: - With a broadband Internet subscription","Total; Margin of Error; HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS) - $75,000 or more: - With a broadband Internet subscription","Percent; Estimate; HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS) - $75,000 or more: - With a broadband Internet subscription","Percent; Margin of Error; HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS) - $75,000 or more: - With a broadband Internet subscription","Total; Estimate; HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS) - $75,000 or more: - Without an Internet subscription","Total; Margin of Error; HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS) - $75,000 or more: - Without an Internet subscription","Percent; Estimate; HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS) - $75,000 or more: - Without an Internet subscription","Percent; Margin of Error; HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS) - $75,000 or more: - Without an Internet subscription"
0400000US01,01,Alabama,1841665,12421,(X),(X),1585085,14416,86.1,0.4,1241594,13410,67.4,0.6,91042,4368,4.9,0.2,1423946,15067,77.3,0.5,220263,8948,12.0,0.5,1001167,15313,54.4,0.7,22621,1818,1.2,0.1,38234,3376,2.1,0.2,699,370,0.0,0.1,256580,7764,13.9,0.4,1446030,14419,78.5,0.5,6881,1284,0.4,0.1,1439149,14506,78.1,0.5,1269243,14703,68.9,0.6,291819,7952,15.8,0.4,1060808,12628,57.6,0.6,141508,5712,7.7,0.3,395635,8761,21.5,0.5,392452,9265,(X),(X),1257,670,0.3,0.2,217679,7448,55.5,1.2,173516,6027,44.2,1.2,878874,12284,(X),(X),4242,978,0.5,0.1,688385,12308,78.3,0.7,186247,6631,21.2,0.7,570339,10221,(X),(X),1382,706,0.2,0.1,533085,10814,93.5,0.5,35872,2849,6.3,0.5
0400000US02,02,Alaska,250741,3074,(X),(X),236300,3351,94.2,0.6,203478,3823,81.2,1.2,9494,1253,3.8,0.5,219531,3859,87.6,0.8,19548,2404,7.8,0.9,165578,4518,66.0,1.5,1922,645,0.8,0.3,16046,2594,6.4,1.0,0,153,0.0,0.1,14441,1508,5.8,0.6,216587,4108,86.4,1.2,772,292,0.3,0.1,215815,4075,86.1,1.2,193847,3959,77.3,1.2,33230,2864,13.3,1.1,172070,4523,68.6,1.6,13682,1728,5.5,0.7,34154,2910,13.6,1.2,25617,2350,(X),(X),98,99,0.4,0.4,14615,1835,57.1,4.6,10904,1493,42.6,4.6,102411,3720,(X),(X),464,251,0.5,0.2,84652,4021,82.7,2.1,17295,2116,16.9,2.1,122713,4212,(X),(X),210,154,0.2,0.1,116548,4248,95.0,1.0,5955,1211,4.9,1.0
0400000US04,04,Arizona,2552972,11005,(X),(X),2355033,12709,92.2,0.3,2039868,14148,79.9,0.4,136762,6231,5.4,0.2,2125862,13355,83.3,0.4,203357,6468,8.0,0.3,1585969,16108,62.1,0.6,21069,2263,0.8,0.1,77136,5355,3.0,0.2,701,370,0.0,0.1,197939,6747,7.8,0.3,2196279,13326,86.0,0.3,8785,1257,0.3,0.1,2187494,13243,85.7,0.3,1856353,16190,72.7,0.5,308311,8291,12.1,0.3,1764668,12509,69.1,0.4,217849,7124,8.5,0.3,356693,8290,14.0,0.3,395883,9883,(X),(X),2388,707,0.6,0.2,257831,8548,65.1,1.3,135664,5798,34.3,1.3,1209934,15577,(X),(X),5483,1155,0.5,0.1,1022596,16450,84.5,0.6,181855,6164,15.0,0.5,947155,10473,(X),(X),914,373,0.1,0.1,907067,10945,95.8,0.3,39174,3247,4.1,0.3
0400000US05,05,Arkansas,1153082,8560,(X),(X),995539,9874,86.3,0.5,772670,11032,67.0,0.7,54608,3519,4.7,0.3,901778,9457,78.2,0.5,145060,5325,12.6,0.5,619980,10309,53.8,0.8,11530,1666,1.0,0.1,22177,2668,1.9,0.2,90,104,0.0,0.1,157543,5993,13.7,0.5,845170,11345,73.3,0.7,3260,784,0.3,0.1,841910,11270,73.0,0.7,721249,11277,62.5,0.7,186909,5988,16.2,0.5,578241,10415,50.1,0.7,106867,5433,9.3,0.5,307912,7950,26.7,0.7,237468,7344,(X),(X),686,328,0.3,0.1,118174,5368,49.8,1.9,118608,6171,49.9,1.9,591457,10936,(X),(X),1958,632,0.3,0.1,438315,10091,74.1,0.9,151184,5488,25.6,0.9,324157,8162,(X),(X),616,400,0.2,0.1,285421,8259,88.1,0.9,38120,2982,11.8,0.9
0400000US06,06,California,13005097,17539,(X),(X),12166166,21306,93.5,0.1,10667818,23514,82.0,0.1,522370,10281,4.0,0.1,11283736,21340,86.8,0.1,883005,16377,6.8,0.1,8652812,30223,66.5,0.2,96079,3945,0.7,0.1,448140,11248,3.4,0.1,2687,763,0.0,0.1,838931,13797,6.5,0.1,11432470,22786,87.9,0.1,31868,2707,0.2,0.1,11400602,22709,87.7,0.1,10155637,26833,78.1,0.2,1272082,16441,9.8,0.1,9672461,23925,74.4,0.2,1018655,14928,7.8,0.1,1572627,17911,12.1,0.1,1702016,19136,(X),(X),7506,1147,0.4,0.1,1109278,14789,65.2,0.6,585232,12992,34.4,0.6,5026024,22577,(X),(X),15081,1786,0.3,0.1,4265991,22194,84.9,0.2,744952,12426,14.8,0.2,6277057,26909,(X),(X),9281,1305,0.1,0.1,6025333,25360,96.0,0.1,242443,7722,3.9,0.1
0400000US08,08,Colorado,2139207,8774,(X),(X),2014078,9154,94.2,0.2,1802433,9024,84.3,0.3,102127,5123,4.8,0.2,1842086,10346,86.1,0.3,123110,6042,5.8,0.3,1421474,11354,66.4,0.5,16269,1655,0.8,0.1,53787,3781,2.5,0.2,466,254,0.0,0.1,125129,5133,5.8,0.2,1895782,9363,88.6,0.3,8212,1143,0.4,0.1,1887570,9274,88.2,0.3,1651349,11825,77.2,0.4,197304,7145,9.2,0.3,1598100,10258,74.7,0.4,161753,5020,7.6,0.2,243425,7001,11.4,0.3,252343,7853,(X),(X),1581,634,0.6,0.3,171257,5946,67.9,1.4,79505,4496,31.5,1.4,897030,13734,(X),(X),4114,712,0.5,0.1,765275,12711,85.3,0.6,127641,5730,14.2,0.6,989834,10345,(X),(X),2517,735,0.3,0.1,951038,9777,96.1,0.3,36279,2689,3.7,0.3
0400000US09,09,Connecticut,1356762,6513,(X),(X),1233494,8119,90.9,0.4,1094053,9234,80.6,0.5,75670,3979,5.6,0.3,1100411,8017,81.1,0.4,74316,4538,5.5,0.3,864182,9648,63.7,0.6,15846,1814,1.2,0.1,28523,2538,2.1,0.2,495,378,0.0,0.1,123268,4755,9.1,0.4,1165229,8364,85.9,0.5,4795,847,0.4,0.1,1160434,8376,85.5,0.5,985686,9725,72.6,0.6,106093,5258,7.8,0.4,1030153,8671,75.9,0.6,51896,3800,3.8,0.3,191533,6399,14.1,0.5,161002,6869,(X),(X),599,276,0.4,0.2,98820,4992,61.4,1.8,61583,3925,38.2,1.7,522933,8331,(X),(X),2853,721,0.5,0.1,419746,7768,80.3,0.9,100334,5318,19.2,0.9,672827,9428,(X),(X),1343,448,0.2,0.1,641868,9117,95.4,0.4,29616,2894,4.4,0.4
0400000US10,10,Delaware,357937,4266,(X),(X),332370,5032,92.9,0.7,267729,5063,74.8,1.3,19825,1874,5.5,0.5,298181,6128,83.3,1.1,32062,3418,9.0,0.9,227106,6114,63.4,1.4,3531,788,1.0,0.2,6547,1055,1.8,0.3,67,80,0.0,0.1,25567,2367,7.1,0.7,309588,5365,86.5,1.0,868,328,0.2,0.1,308720,5449,86.2,1.0,274574,6366,76.7,1.3,28979,2769,8.1,0.7,270511,4928,75.6,1.1,13739,1761,3.8,0.5,48349,3483,13.5,1.0,53220,3718,(X),(X),77,81,0.1,0.2,34514,3311,64.9,3.6,18629,2130,35.0,3.6,153879,4924,(X),(X),593,277,0.4,0.2,129616,4656,84.2,1.7,23670,2764,15.4,1.7,150838,5478,(X),(X),198,166,0.1,0.1,144590,5384,95.9,0.7,6050,1101,4.0,0.7
0400000US11,11,District of Columbia,281475,3302,(X),(X),258760,3943,91.9,0.8,223698,4197,79.5,1.2,9499,1114,3.4,0.4,243412,4247,86.5,0.8,24374,2823,8.7,1.0,175848,4452,62.5,1.4,1653,638,0.6,0.2,7025,1411,2.5,0.5,98,116,0.0,0.1,22715,2110,8.1,0.8,233087,4236,82.8,1.2,297,261,0.1,0.1,232790,4210,82.7,1.1,211436,4391,75.1,1.3,25213,2541,9.0,0.9,203182,4239,72.2,1.3,9929,1441,3.5,0.5,48388,3293,17.2,1.2,48180,3434,(X),(X),46,71,0.1,0.1,27562,2665,57.2,3.8,20572,2403,42.7,3.8,82193,4244,(X),(X),124,205,0.2,0.3,63335,3589,77.1,2.5,18734,2434,22.8,2.5,151102,3685,(X),(X),127,133,0.1,0.1,141893,3634,93.9,1.1,9082,1688,6.0,1.1
