GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC01,HC01_MOE_VC01,HC02_EST_VC01,HC02_MOE_VC01,HC01_EST_VC03,HC01_MOE_VC03,HC02_EST_VC03,HC02_MOE_VC03,HC01_EST_VC04,HC01_MOE_VC04,HC02_EST_VC04,HC02_MOE_VC04,HC01_EST_VC05,HC01_MOE_VC05,HC02_EST_VC05,HC02_MOE_VC05,HC01_EST_VC06,HC01_MOE_VC06,HC02_EST_VC06,HC02_MOE_VC06,HC01_EST_VC09,HC01_MOE_VC09,HC02_EST_VC09,HC02_MOE_VC09,HC01_EST_VC10,HC01_MOE_VC10,HC02_EST_VC10,HC02_MOE_VC10,HC01_EST_VC13,HC01_MOE_VC13,HC02_EST_VC13,HC02_MOE_VC13,HC01_EST_VC14,HC01_MOE_VC14,HC02_EST_VC14,HC02_MOE_VC14,HC01_EST_VC15,HC01_MOE_VC15,HC02_EST_VC15,HC02_MOE_VC15,HC01_EST_VC16,HC01_MOE_VC16,HC02_EST_VC16,HC02_MOE_VC16,HC01_EST_VC17,HC01_MOE_VC17,HC02_EST_VC17,HC02_MOE_VC17,HC01_EST_VC18,HC01_MOE_VC18,HC02_EST_VC18,HC02_MOE_VC18,HC01_EST_VC19,HC01_MOE_VC19,HC02_EST_VC19,HC02_MOE_VC19,HC01_EST_VC21,HC01_MOE_VC21,HC02_EST_VC21,HC02_MOE_VC21,HC01_EST_VC22,HC01_MOE_VC22,HC02_EST_VC22,HC02_MOE_VC22,HC01_EST_VC25,HC01_MOE_VC25,HC02_EST_VC25,HC02_MOE_VC25,HC01_EST_VC26,HC01_MOE_VC26,HC02_EST_VC26,HC02_MOE_VC26,HC01_EST_VC27,HC01_MOE_VC27,HC02_EST_VC27,HC02_MOE_VC27,HC01_EST_VC28,HC01_MOE_VC28,HC02_EST_VC28,HC02_MOE_VC28,HC01_EST_VC29,HC01_MOE_VC29,HC02_EST_VC29,HC02_MOE_VC29,HC01_EST_VC30,HC01_MOE_VC30,HC02_EST_VC30,HC02_MOE_VC30,HC01_EST_VC31,HC01_MOE_VC31,HC02_EST_VC31,HC02_MOE_VC31,HC01_EST_VC33,HC01_MOE_VC33,HC02_EST_VC33,HC02_MOE_VC33,HC01_EST_VC34,HC01_MOE_VC34,HC02_EST_VC34,HC02_MOE_VC34,HC01_EST_VC37,HC01_MOE_VC37,HC02_EST_VC37,HC02_MOE_VC37,HC01_EST_VC38,HC01_MOE_VC38,HC02_EST_VC38,HC02_MOE_VC38,HC01_EST_VC39,HC01_MOE_VC39,HC02_EST_VC39,HC02_MOE_VC39,HC01_EST_VC42,HC01_MOE_VC42,HC02_EST_VC42,HC02_MOE_VC42
Id,Id2,Geography,Total; Estimate; Citizens 18 years and over,Total; Margin of Error; Citizens 18 years and over,Percent; Estimate; Citizens 18 years and over,Percent; Margin of Error; Citizens 18 years and over,Total; Estimate; AGE - 18 to 29 years,Total; Margin of Error; AGE - 18 to 29 years,Percent; Estimate; AGE - 18 to 29 years,Percent; Margin of Error; AGE - 18 to 29 years,Total; Estimate; AGE - 30 to 44 years,Total; Margin of Error; AGE - 30 to 44 years,Percent; Estimate; AGE - 30 to 44 years,Percent; Margin of Error; AGE - 30 to 44 years,Total; Estimate; AGE - 45 to 64 years,Total; Margin of Error; AGE - 45 to 64 years,Percent; Estimate; AGE - 45 to 64 years,Percent; Margin of Error; AGE - 45 to 64 years,Total; Estimate; AGE - 65 years and over,Total; Margin of Error; AGE - 65 years and over,Percent; Estimate; AGE - 65 years and over,Percent; Margin of Error; AGE - 65 years and over,Total; Estimate; SEX - Male,Total; Margin of Error; SEX - Male,Percent; Estimate; SEX - Male,Percent; Margin of Error; SEX - Male,Total; Estimate; SEX - Female,Total; Margin of Error; SEX - Female,Percent; Estimate; SEX - Female,Percent; Margin of Error; SEX - Female,Total; Estimate; RACE AND HISPANIC ORIGIN - White alone,Total; Margin of Error; RACE AND HISPANIC ORIGIN - White alone,Percent; Estimate; RACE AND HISPANIC ORIGIN - White alone,Percent; Margin of Error; RACE AND HISPANIC ORIGIN - White alone,Total; Estimate; RACE AND HISPANIC ORIGIN - Black or African American alone,Total; Margin of Error; RACE AND HISPANIC ORIGIN - Black or African American alone,Percent; Estimate; RACE AND HISPANIC ORIGIN - Black or African American alone,Percent; Margin of Error; RACE AND HISPANIC ORIGIN - Black or African American alone,Total; Estimate; RACE AND HISPANIC ORIGIN - Asian alone,Total; Margin of Error; RACE AND HISPANIC ORIGIN - Asian alone,Percent; Estimate; RACE AND HISPANIC ORIGIN - Asian alone,Percent; Margin of Error; RACE AND HISPANIC ORIGIN - Asian alone,Total; Estimate; RACE AND HISPANIC ORIGIN - American Indian and Alaska Native alone,Total; Margin of Error; RACE AND HISPANIC ORIGIN - American Indian and Alaska Native alone,Percent; Estimate; RACE AND HISPANIC ORIGIN - American Indian and Alaska Native alone,Percent; Margin of Error; RACE AND HISPANIC ORIGIN - American Indian and Alaska Native alone,Total; Estimate; RACE AND HISPANIC ORIGIN - Native Hawaiian and Other Pacific Islander alone,Total; Margin of Error; RACE AND HISPANIC ORIGIN - Native Hawaiian and Other Pacific Islander alone,Percent; Estimate; RACE AND HISPANIC ORIGIN - Native Hawaiian and Other Pacific Islander alone,Percent; Margin of Error; RACE AND HISPANIC ORIGIN - Native Hawaiian and Other Pacific Islander alone,Total; Estimate; RACE AND HISPANIC ORIGIN - Some Other Race alone,Total; Margin of Error; RACE AND HISPANIC ORIGIN - Some Other Race alone,Percent; Estimate; RACE AND HISPANIC ORIGIN - Some Other Race alone,Percent; Margin of Error; RACE AND HISPANIC ORIGIN - Some Other Race alone,Total; Estimate; RACE AND HISPANIC ORIGIN - Two or More Races,Total; Margin of Error; RACE AND HISPANIC ORIGIN - Two or More Races,Percent; Estimate; RACE AND HISPANIC ORIGIN - Two or More Races,Percent; Margin of Error; RACE AND HISPANIC ORIGIN - Two or More Races,Total; Estimate; Hispanic or Latino,Total; Margin of Error; Hispanic or Latino,Percent; Estimate; Hispanic or Latino,Percent; Margin of Error; Hispanic or Latino,"Total; Estimate; White alone, Not Hispanic or Latino","Total; Margin of Error; White alone, Not Hispanic or Latino","Percent; Estimate; White alone, Not Hispanic or Latino","Percent; Margin of Error; White alone, Not Hispanic or Latino",Total; Estimate; EDUCATIONAL ATTAINMENT - Less than 9th grade,Total; Margin of Error; EDUCATIONAL ATTAINMENT - Less than 9th grade,Percent; Estimate; EDUCATIONAL ATTAINMENT - Less than 9th grade,Percent; Margin of Error; EDUCATIONAL ATTAINMENT - Less than 9th grade,"Total; Estimate; EDUCATIONAL ATTAINMENT - 9th to 12th grade, no diploma","Total; Margin of Error; EDUCATIONAL ATTAINMENT - 9th to 12th grade, no diploma","Percent; Estimate; EDUCATIONAL ATTAINMENT - 9th to 12th grade, no diploma","Percent; Margin of Error; EDUCATIONAL ATTAINMENT - 9th to 12th grade, no diploma",Total; Estimate; EDUCATIONAL ATTAINMENT - High school graduate (includes equivalency),Total; Margin of Error; EDUCATIONAL ATTAINMENT - High school graduate (includes equivalency),Percent; Estimate; EDUCATIONAL ATTAINMENT - High school graduate (includes equivalency),Percent; Margin of Error; EDUCATIONAL ATTAINMENT - High school graduate (includes equivalency),"Total; Estimate; EDUCATIONAL ATTAINMENT - Some college, no degree","Total; Margin of Error; EDUCATIONAL ATTAINMENT - Some college, no degree","Percent; Estimate; EDUCATIONAL ATTAINMENT - Some college, no degree","Percent; Margin of Error; EDUCATIONAL ATTAINMENT - Some college, no degree",Total; Estimate; EDUCATIONAL ATTAINMENT - Associate's degree,Total; Margin of Error; EDUCATIONAL ATTAINMENT - Associate's degree,Percent; Estimate; EDUCATIONAL ATTAINMENT - Associate's degree,Percent; Margin of Error; EDUCATIONAL ATTAINMENT - Associate's degree,Total; Estimate; EDUCATIONAL ATTAINMENT - Bachelor's degree,Total; Margin of Error; EDUCATIONAL ATTAINMENT - Bachelor's degree,Percent; Estimate; EDUCATIONAL ATTAINMENT - Bachelor's degree,Percent; Margin of Error; EDUCATIONAL ATTAINMENT - Bachelor's degree,Total; Estimate; EDUCATIONAL ATTAINMENT - Graduate or professional degree,Total; Margin of Error; EDUCATIONAL ATTAINMENT - Graduate or professional degree,Percent; Estimate; EDUCATIONAL ATTAINMENT - Graduate or professional degree,Percent; Margin of Error; EDUCATIONAL ATTAINMENT - Graduate or professional degree,Total; Estimate; High school degree or higher,Total; Margin of Error; High school degree or higher,Percent; Estimate; High school degree or higher,Percent; Margin of Error; High school degree or higher,Total; Estimate; Bachelor's degree or higher,Total; Margin of Error; Bachelor's degree or higher,Percent; Estimate; Bachelor's degree or higher,Percent; Margin of Error; Bachelor's degree or higher,"Total; Estimate; POVERTY STATUS - Total Citizens, 18 years and older, for whom poverty status is determined","Total; Margin of Error; POVERTY STATUS - Total Citizens, 18 years and older, for whom poverty status is determined","Percent; Estimate; POVERTY STATUS - Total Citizens, 18 years and older, for whom poverty status is determined","Percent; Margin of Error; POVERTY STATUS - Total Citizens, 18 years and older, for whom poverty status is determined",Total; Estimate; POVERTY STATUS - Income in the past 12 months below poverty level,Total; Margin of Error; POVERTY STATUS - Income in the past 12 months below poverty level,Percent; Estimate; POVERTY STATUS - Income in the past 12 months below poverty level,Percent; Margin of Error; POVERTY STATUS - Income in the past 12 months below poverty level,Total; Estimate; POVERTY STATUS - Income in the past 12 months at or above the poverty level,Total; Margin of Error; POVERTY STATUS - Income in the past 12 months at or above the poverty level,Percent; Estimate; POVERTY STATUS - Income in the past 12 months at or above the poverty level,Percent; Margin of Error; POVERTY STATUS - Income in the past 12 months at or above the poverty level,"Total; Estimate; HOUSEHOLD INCOME (IN 2017 INFLATION-ADJUSTED DOLLARS) - Median Household Income for Households with a Citizen, Voting-Age Householder","Total; Margin of Error; HOUSEHOLD INCOME (IN 2017 INFLATION-ADJUSTED DOLLARS) - Median Household Income for Households with a Citizen, Voting-Age Householder","Percent; Estimate; HOUSEHOLD INCOME (IN 2017 INFLATION-ADJUSTED DOLLARS) - Median Household Income for Households with a Citizen, Voting-Age Householder","Percent; Margin of Error; HOUSEHOLD INCOME (IN 2017 INFLATION-ADJUSTED DOLLARS) - Median Household Income for Households with a Citizen, Voting-Age Householder"
0400000US01,01,Alabama,3688249,5643,(X),(X),771482,5452,20.9,0.1,859001,5624,23.3,0.1,1260686,5748,34.2,0.1,797080,2899,21.6,0.1,1750050,4591,47.4,0.1,1938199,3826,52.6,0.1,2594550,5043,70.3,0.1,977499,4925,26.5,0.1,28616,2689,0.8,0.1,N,N,N,N,N,N,N,N,16650,2671,0.5,0.1,49143,4527,1.3,0.1,68370,4308,1.9,0.1,2546071,2681,69.0,0.1,124759,6633,3.4,0.2,353270,11108,9.6,0.3,1166142,17339,31.6,0.5,890675,14401,24.1,0.4,297465,9587,8.1,0.3,547228,11132,14.8,0.3,308710,8418,8.4,0.2,3210220,12351,87.0,0.3,855938,13572,23.2,0.4,3583677,5676,(X),(X),511054,16300,14.3,0.5,3072623,16958,85.7,0.5,48452,772,(X),(X)
0400000US02,02,Alaska,531653,3005,(X),(X),130346,2366,24.5,0.4,143427,2549,27.0,0.5,177019,2684,33.3,0.5,80861,1212,15.2,0.2,281264,1631,52.9,0.2,250389,2104,47.1,0.2,370547,2411,69.7,0.5,15789,1236,3.0,0.2,23909,2098,4.5,0.4,N,N,N,N,4933,792,0.9,0.1,8258,1537,1.6,0.3,N,N,N,N,31763,854,6.0,0.2,354117,1255,66.6,0.4,11299,1331,2.1,0.2,33748,2746,6.3,0.5,155726,5486,29.3,1.0,149024,5128,28.0,1.0,44460,2978,8.4,0.6,86875,4736,16.3,0.9,50521,3295,9.5,0.6,486606,3445,91.5,0.6,137396,5559,25.8,1.1,517757,3007,(X),(X),49159,3817,9.5,0.7,468598,4449,90.5,0.7,74048,2864,(X),(X)
0400000US04,04,Arizona,4895706,14005,(X),(X),1067740,7532,21.8,0.1,1133448,8665,23.2,0.2,1544874,6620,31.6,0.1,1149644,4679,23.5,0.1,2412036,9375,49.3,0.1,2483670,9203,50.7,0.1,3970171,16785,81.1,0.3,213036,4007,4.4,0.1,120530,4438,2.5,0.1,222140,5838,4.5,0.1,9484,1302,0.2,0.1,228065,11135,4.7,0.2,132280,8049,2.7,0.2,1144543,12444,23.4,0.2,3134110,7012,64.0,0.2,149657,6877,3.1,0.1,366504,11489,7.5,0.2,1240537,17356,25.3,0.4,1367296,17760,27.9,0.4,423686,12633,8.7,0.3,859330,15311,17.6,0.3,488696,10887,10.0,0.2,4379545,18170,89.5,0.3,1348026,18044,27.5,0.4,4777975,13795,(X),(X),576042,15526,12.1,0.3,4201933,20643,87.9,0.3,58252,656,(X),(X)
0400000US05,05,Arkansas,2207894,4945,(X),(X),463969,3653,21.0,0.2,515699,5030,23.4,0.2,736006,4025,33.3,0.2,492220,2232,22.3,0.1,1065667,3607,48.3,0.1,1142227,3105,51.7,0.1,1767277,4329,80.0,0.2,331784,3398,15.0,0.2,18286,1774,0.8,0.1,N,N,N,N,1848,934,0.1,0.1,29177,3760,1.3,0.2,45202,3451,2.0,0.2,77412,4052,3.5,0.2,1722655,2007,78.0,0.2,74507,4062,3.4,0.2,194327,7060,8.8,0.3,759329,12802,34.4,0.6,550519,10592,24.9,0.5,154087,6760,7.0,0.3,312213,8781,14.1,0.4,162912,6546,7.4,0.3,1939060,8980,87.8,0.3,475125,11105,21.5,0.5,2133163,4956,(X),(X),307498,10291,14.4,0.5,1825665,11384,85.6,0.5,45947,794,(X),(X)
0400000US06,06,California,25650455,39934,(X),(X),6059901,21020,23.6,0.1,6253003,21382,24.4,0.1,8296127,22419,32.3,0.1,5041424,11786,19.7,0.1,12596031,26446,49.1,0.1,13054424,22952,50.9,0.1,16248203,37966,63.3,0.1,1726398,11803,6.7,0.1,3539847,20966,13.8,0.1,216650,8442,0.8,0.1,106403,5032,0.4,0.1,2782368,33739,10.8,0.1,1030586,20753,4.0,0.1,7697731,31994,30.0,0.1,11844297,15526,46.2,0.1,1161284,19482,4.5,0.1,1679013,24504,6.5,0.1,5670820,38990,22.1,0.1,6691008,43178,26.1,0.2,2090277,23112,8.1,0.1,5384750,41032,21.0,0.2,2973303,27230,11.6,0.1,22810158,41725,88.9,0.1,8358053,46612,32.6,0.2,25094781,39878,(X),(X),2633646,37341,10.5,0.1,22461135,51256,89.5,0.1,76088,331,(X),(X)
0400000US08,08,Colorado,4057437,9372,(X),(X),893000,4756,22.0,0.1,1069980,7035,26.4,0.1,1339310,5582,33.0,0.1,755147,3193,18.6,0.1,2020660,6544,49.8,0.1,2036777,6054,50.2,0.1,3545964,11572,87.4,0.2,151670,4671,3.7,0.1,92829,3806,2.3,0.1,43473,3273,1.1,0.1,5530,1373,0.1,0.1,111264,6271,2.7,0.2,106707,6652,2.6,0.2,636748,8738,15.7,0.2,3071544,4224,75.7,0.2,72590,4934,1.8,0.1,199065,8812,4.9,0.2,909022,16093,22.4,0.4,972206,13102,24.0,0.3,323740,9242,8.0,0.2,1023500,12265,25.2,0.3,557314,10889,13.7,0.3,3785782,12838,93.3,0.3,1580814,14163,39.0,0.4,3957876,9336,(X),(X),369997,10915,9.3,0.3,3587879,15327,90.7,0.3,70478,687,(X),(X)
0400000US09,09,Connecticut,2611667,9339,(X),(X),521117,4528,20.0,0.2,552179,6061,21.1,0.2,956672,4763,36.6,0.2,581699,2793,22.3,0.1,1252709,5839,48.0,0.1,1358958,5889,52.0,0.1,2113264,9529,80.9,0.3,258520,5673,9.9,0.2,80707,4510,3.1,0.2,7278,1496,0.3,0.1,N,N,N,N,92774,6946,3.6,0.3,58845,5295,2.3,0.2,306204,6475,11.7,0.2,1929266,5042,73.9,0.3,70248,4217,2.7,0.2,147516,6783,5.6,0.3,712306,15252,27.3,0.6,522940,11872,20.0,0.4,204650,8345,7.8,0.3,553737,11466,21.2,0.4,400270,8560,15.3,0.3,2393903,11666,91.7,0.3,954007,13208,36.5,0.5,2517770,9229,(X),(X),206126,10544,8.2,0.4,2311644,14314,91.8,0.4,75751,1121,(X),(X)
0400000US10,10,Delaware,709999,4015,(X),(X),141024,2224,19.9,0.3,149325,2472,21.0,0.3,248770,2134,35.0,0.3,170880,1098,24.1,0.2,337892,2592,47.6,0.2,372107,2367,52.4,0.2,516740,2844,72.8,0.4,153093,2836,21.6,0.4,16924,1756,2.4,0.2,N,N,N,N,N,N,N,N,6812,1926,1.0,0.3,13947,2380,2.0,0.3,35463,3099,5.0,0.4,492429,1703,69.4,0.4,14710,2251,2.1,0.3,42684,3675,6.0,0.5,235210,8011,33.1,1.1,156543,5816,22.0,0.8,54620,3715,7.7,0.5,122665,5088,17.3,0.7,83567,4664,11.8,0.7,652605,6367,91.9,0.7,206232,6598,29.0,0.9,688470,4046,(X),(X),80203,5615,11.6,0.8,608267,6769,88.4,0.8,63626,2672,(X),(X)
0400000US11,11,District of Columbia,510514,4960,(X),(X),142877,2674,28.0,0.4,153101,3147,30.0,0.5,133231,2389,26.1,0.4,81305,860,15.9,0.2,236100,2958,46.2,0.4,274414,3244,53.8,0.4,228792,3408,44.8,0.5,240731,3155,47.2,0.6,16977,1612,3.3,0.3,N,N,N,N,N,N,N,N,9789,1732,1.9,0.3,12528,2364,2.5,0.5,30518,2847,6.0,0.5,212092,2357,41.5,0.4,10564,1865,2.1,0.4,29730,3236,5.8,0.6,94071,5793,18.4,1.1,87962,4973,17.2,1.0,16621,2653,3.3,0.5,123216,5961,24.1,1.1,148350,5357,29.1,1.0,470220,5579,92.1,0.8,271566,6740,53.2,1.2,480375,4920,(X),(X),70289,5172,14.6,1.1,410086,6290,85.4,1.1,82468,2884,(X),(X)
