"","Country","Broadband","Cells","Servers","Exports","mac.addresses","IXP"
"1","ABW",NA,NA,978.492172062624,1654810,NA,NA
"2","AFG",0.082746786,67.3505726,44.3849255508311,NA,NA,NA
"3","AGO",0.32540415,44.73497738,10.8111037287463,NA,NA,2
"4","ALB",10.361523,123.736096,443.020375805171,1009999,NA,2
"5","AND",44.54492302,104.3812122,3417.13765997531,NA,NA,NA
"6","ARB",5.38096412545565,100.423540645109,126.270122246382,NA,NA,NA
"7","ARE",29.380717,210.9140231,1297.00126966127,NA,"8",2
"8","ARG",17.71536838,139.8146002,1620.26910548591,1447746846,"9",1
"9","ARM",10.76008804,119.0439694,272.654370489174,25601284,NA,1
"10","ASM",NA,NA,988.479718193419,NA,NA,NA
"11","ATG",8.822491472,180.3709368,833.235305650316,3183,NA,NA
"12","AUS",32.40007458,112.6886209,150,4322994334,"204",8
"13","AUT",28.74722124,170.8479228,7431.71463561626,12943326472,"99",6
"14","AZE",18.36883899,103.0466374,259.487663578963,9003491,NA,NA
"15","BDI",0.036026433,54.49630416,4.60225261856668,196739,NA,NA
"16","BEL",38.31345058,104.6525275,8295.26796342386,30703539070,"103",2
"17","BEN",0.257997447,78.50112548,4.20555613021547,2789053,NA,1
"18","BFA",0.064402407,93.50293242,1.92774780390449,4579874,"3",NA
"19","BGD",4.433418983,91.66528709,63.2356576527525,NA,"1",3
"20","BGR",25.36087224,120.4435385,150,1339320003,"14",7
"21","BHR",14.31296329,158.4150038,359.778746120821,NA,NA,NA
"22","BHS",21.97181816,89.42207249,1456.89635548271,NA,"1",NA
"23","BIH",18.93098893,98.09148345,1432.55650029641,125615742,NA,NA
"24","BLR",33.40909461,120.5611904,2259.88664876024,601057800,"1",1
"25","BLZ",5.419009771,63.90529544,8025.49368662943,10,NA,1
"26","BMU",37.17746011,105.9463072,7686.31286196727,1135813,NA,NA
"27","BOL",3.438379963,99.20033298,110.934163379058,19172427,NA,1
"28","BRA",13.80385336,112.9965568,1570.64697144672,9924754587,"114",6
"29","BRB",24.19965071,115.3458468,769.987295209629,32094548,"2",NA
"30","BRN",9.612616837,127.0669027,1604.86310844256,159575567,"1",NA
"31","BTN",2.068696524,90.46730476,108.963484850361,NA,NA,NA
"32","BWA",1.415305318,141.4078697,65.8910720215599,49682765,NA,1
"33","CAF",NA,25.22792053,0.429269297801283,29204,"1",NA
"34","CAN",38.01804648,86.53568096,150,24220179630,"613",16
"35","CCK",NA,NA,NA,NA,"2",NA
"36","CEB",24.3849885137617,123.778004139038,13205.279518737,70531165639,NA,NA
"37","CHE",46.12960941,130.8219143,150,24159696001,"228",4
"38","CHL",16.94281597,127.4632858,7425.31346086338,589579680,"1",3
"39","CHN",27.96630966,104.2826788,209.120055972504,504380837924,"3997",2
"40","CIV",0.587884214,130.6752817,8.72616511797816,87382378,NA,1
"41","CMR",0.175095527,83.71005458,8.73045578342184,28690439,NA,NA
"42","COD",0.001229408,43.49059653,2.5571678225475,NA,NA,1
"43","COG",NA,96.1079694,4.56208715487335,84282668,NA,1
"44","COL",12.87854234,126.8138818,461.422933351595,671901587,"2",1
"45","COM",0.180609206,57.61237087,4.91453621521737,NA,"1",NA
"46","CPV",2.744020733,112.0557186,256.228174850106,NA,NA,NA
"47","CRI",15.16665379,180.2029814,1171.88559021022,442615674,NA,2
"48","CSS",13.6860346387371,112.918410487869,764.658867420782,47025910,NA,NA
"49","CUB",0.292007513,40.17351529,8.35899370254312,NA,NA,NA
"50","CUW",30.73894817,116.5972131,3165.28796628687,NA,NA,1
"51","CYM",50.73506717,157.0135967,6237.91809483585,NA,"5",NA
"52","CYP",34.79477524,138.4797599,150,52292135,"3",1
"53","CZE",29.62894353,119.0054475,150,21069666188,"48",5
"54","DEU",40.47081904,133.5943941,150,171632937844,"1213",17
"55","DJI",2.548524794,38.98201121,21.9439176162636,NA,NA,1
"56","DMA",20.86303686,101.7653027,6736.55732160974,NA,NA,1
"57","DNK",43.67044088,121.7107513,150,7456525714,"238",3
"58","DOM",7.583032894,81.44449363,95.8484435494462,390318015,NA,2
